DATE,ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD
2011-11-01,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-7.2,6.7,0.0,0.0,0.0
2011-11-02,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-3.9,9.4,0.0,0.0,0.0
2011-11-03,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-2.2,11.7,0.0,0.0,0.0
2011-11-04,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-1.7,12.8,0.0,0.0,0.0
2011-11-05,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-5.0,1.7,0.3,3.0,0.0
2011-11-06,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-5.85,6.95,0.15,1.5,0.0
2011-11-07,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-6.7,12.2,0.0,0.0,0.0
2011-11-08,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-6.7,13.9,0.0,0.0,0.0
2011-11-09,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,4.4,13.9,0.0,0.0,0.0
2011-11-10,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,6.7,18.3,0.0,0.0,0.0
2011-11-11,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,1.7,10.8,1.0,10.0,0.0
2011-11-12,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-3.3,3.3,2.0,20.0,0.0
2011-11-13,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-1.1,3.9,0.0,0.0,0.0
2011-11-14,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-1.1,11.7,0.0,0.0,0.0
2011-11-15,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,7.8,15.6,0.0,0.0,0.0
2011-11-16,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-2.2,8.3,0.0,0.0,0.0
2011-11-17,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-2.2,10.6,0.0,0.0,0.0
2011-11-18,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-3.05,6.95,0.0,29.0,25.5
2011-11-19,USC00430193,44.9989,-71.7097,514.2,VT AVERILL,Fall,-3.9,3.3,0.0,58.0,51.0
