DATE,ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,Week,TMIN_10thPercentile_Week,Temp_Diff,SnowyDay,SNWD_Lag1,SNWD_Lag2,SnowyDaysCount_7,Cumulative_SnowDepth_7,PRCP_Lag1,PRCP_Lag2,Cumulative_Precipitation_7,Rolling_Mean_TMIN_7,Rolling_10thPercentile_TMIN_7,Day_of_Week,Day_of_Year,SNWD_TMIN_Interaction,Snowfall_Intensity,Seasonal_TMIN_Deviation,Rolling_Mean_TMIN_30,TMIN_Rolling_30_Diff,EWMA_TMIN_7,Previous_Season_TMIN,Rolling_Sum_PRCP_14,Cumulative_Snowfall_Lag7,TMIN_SNOW_Interaction,TMAX_PRCP_Interaction,Seasonal_TMIN_Anomaly,Days_Since_Last_Precip,Rolling_Max_TMIN_30,Rolling_Min_TMIN_30,EWMA_TMIN_30,SNWD_Snowfall_Diff,TMIN_Lag1,TMAX_Lag1,SNOW_Lag1,Rolling_Sum_SNWD_7
1948-01-01,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-14.4,-7.8,0.0,0.0,737.0,1,-27.8,6.6,0,737.0,737.0,4.0,5234.0,0.0,0.0,12.3,-14.29,-16.92,3,1,-10612.8,0.0,3.69,-21.94,-2.46,-14.4,-14.4,21.2,145.0,-0.0,-0.0,2.99,1.0,-11.1,-33.9,-14.4,737.0,-14.4,-7.8,0.0,5234.0
1948-01-02,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-15.6,-8.9,9.7,94.0,762.0,1,-27.8,6.7,1,737.0,737.0,4.0,5234.0,0.0,0.0,12.3,-14.29,-16.92,4,2,-11887.2,0.12,2.49,-21.94,-2.46,-14.7,-14.4,21.2,145.0,-1466.4,-86.33,2.27,1.0,-11.1,-33.9,-14.48,761.88,-14.4,-7.8,0.0,5234.0
1948-01-03,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-14.4,-9.4,1.8,18.0,762.0,1,-27.8,5.0,1,762.0,737.0,4.0,5234.0,9.7,0.0,12.3,-14.29,-16.92,5,3,-10972.8,0.02,3.69,-21.94,-2.46,-14.62,-15.6,21.2,145.0,-259.2,-16.92,2.64,1.0,-11.1,-33.9,-14.47,761.98,-15.6,-8.9,94.0,5234.0
1948-01-04,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-11.1,-6.7,0.0,0.0,762.0,1,-27.8,4.4,0,762.0,762.0,4.0,5234.0,1.8,9.7,12.3,-14.29,-16.92,6,4,-8458.2,0.0,6.99,-21.94,-2.46,-13.74,-14.4,21.2,145.0,-0.0,-0.0,6.53,1.0,-11.1,-33.9,-14.25,762.0,-14.4,-9.4,18.0,5234.0
1948-01-05,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-11.7,-5.6,0.0,0.0,737.0,2,-30.6,6.1,0,762.0,762.0,4.0,5234.0,0.0,1.8,12.3,-14.29,-16.92,0,5,-8622.9,0.0,6.39,-21.94,-2.46,-13.23,-11.1,21.2,145.0,-0.0,-0.0,7.46,1.0,-11.1,-33.9,-14.09,737.0,-11.1,-6.7,0.0,5234.0
1948-01-06,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-13.9,-7.2,0.3,20.0,737.0,2,-30.6,6.7,1,737.0,762.0,4.0,5234.0,0.0,0.0,12.3,-14.29,-16.92,1,6,-10244.3,0.03,4.19,-21.94,-2.46,-13.4,-11.7,21.2,145.0,-278.0,-2.16,4.56,3.0,-11.1,-33.9,-14.08,736.97,-11.7,-5.6,0.0,5234.0
1948-01-07,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-18.9,-12.2,0.5,13.0,737.0,2,-30.6,6.7,1,737.0,737.0,4.0,5234.0,0.3,0.0,12.3,-14.29,-16.92,2,7,-13929.3,0.02,-0.81,-21.94,-2.46,-14.77,-13.9,21.2,145.0,-245.7,-6.1,0.29,1.0,-11.1,-33.9,-14.39,736.98,-13.9,-7.2,20.0,5234.0
1948-01-08,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-20.0,-11.7,0.0,0.0,762.0,2,-30.6,8.3,0,737.0,737.0,4.0,5259.0,0.5,0.3,12.3,-15.09,-19.34,3,8,-15240.0,0.0,-1.91,-21.94,-2.46,-16.08,-18.9,21.2,145.0,-0.0,-0.0,0.19,1.0,-11.1,-33.9,-14.75,762.0,-18.9,-12.2,13.0,5259.0
1948-01-09,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-20.0,-7.2,5.3,64.0,762.0,2,-30.6,12.8,1,762.0,737.0,4.0,5259.0,0.0,0.5,7.9,-15.71,-20.0,4,9,-15240.0,0.08,-1.91,-21.94,-2.46,-17.06,-20.0,21.2,145.0,-1280.0,-38.16,-0.76,2.0,-11.1,-33.9,-15.09,761.92,-20.0,-11.7,0.0,5259.0
1948-01-10,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-32.2,-18.9,0.0,0.0,762.0,2,-30.6,13.3,0,762.0,762.0,3.0,5259.0,5.3,0.0,6.1,-18.26,-24.88,5,10,-24536.4,0.0,-14.11,-21.94,-2.46,-20.85,-20.0,21.2,145.0,-0.0,-0.0,-12.73,2.0,-11.1,-33.9,-16.19,762.0,-20.0,-7.2,64.0,5259.0
