,DATE,ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,STATE
6107,2025-03-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,3.3,15.0,6.4,0.0,0.0,NH
6108,2025-03-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-3.3,6.1,0.0,0.0,0.0,NH
6109,2025-03-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-4.4,16.7,0.0,0.0,0.0,NH
6110,2025-03-24,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-3.9,6.1,1.3,0.0,0.0,NH
6111,2025-03-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-2.2,1.7,12.7,0.0,0.0,NH
6112,2025-03-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-3.3,8.9,0.0,0.0,0.0,NH
6113,2025-03-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-3.9,8.9,0.0,0.0,0.0,NH
6114,2025-03-28,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-3.3,9.4,0.5,0.0,0.0,NH
6115,2025-03-29,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,0.6,14.4,5.1,0.0,0.0,NH
6116,2025-03-30,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-0.6,0.6,8.9,0.0,0.0,NH
6117,2025-03-31,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,0.0,2.8,3.3,0.0,0.0,NH
6118,2025-04-01,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,1.7,15.6,0.0,0.0,0.0,NH
6119,2025-04-02,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-2.2,10.0,0.0,0.0,0.0,NH
6120,2025-04-03,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-1.7,7.8,22.9,0.0,0.0,NH
6121,2025-04-04,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,1.7,12.2,7.4,0.0,0.0,NH
6122,2025-04-05,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,2.2,18.9,0.0,0.0,0.0,NH
6123,2025-04-06,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,2.8,6.7,12.7,0.0,0.0,NH
6124,2025-04-07,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,0.6,12.8,6.9,0.0,0.0,NH
6125,2025-04-08,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,0.6,3.3,3.8,0.0,0.0,NH
6126,2025-04-09,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-3.9,4.4,0.0,0.0,0.0,NH
6127,2025-04-10,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-4.4,7.8,1.5,0.0,0.0,NH
6128,2025-04-11,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-2.8,10.6,2.5,0.0,0.0,NH
6129,2025-04-12,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-2.8,10.6,14.7,64.0,76.0,NH
6130,2025-04-13,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,0.0,2.2,3.6,0.0,0.0,NH
6131,2025-04-14,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,2.2,8.9,0.0,0.0,0.0,NH
6132,2025-04-15,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,5.6,20.0,0.5,0.0,0.0,NH
6133,2025-04-16,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-1.1,21.1,0.0,0.0,0.0,NH
6134,2025-04-17,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,3.3,10.0,4.6,0.0,0.0,NH
6135,2025-04-18,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-2.2,15.0,0.0,0.0,0.0,NH
6136,2025-04-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,5.6,21.1,0.0,0.0,0.0,NH
6137,2025-04-20,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,11.7,26.7,1.0,0.0,0.0,NH
6138,2025-04-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,0.0,15.6,0.0,0.0,0.0,NH
6139,2025-04-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,3.9,17.2,3.3,0.0,0.0,NH
6140,2025-04-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,7.2,23.9,0.0,0.0,0.0,NH
6141,2025-04-24,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,3.3,21.7,0.0,0.0,0.0,NH
6142,2025-04-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,8.3,25.0,1.5,0.0,0.0,NH
6143,2025-04-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,10.6,21.1,7.6,0.0,0.0,NH
6144,2025-04-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,5.6,18.3,15.7,0.0,0.0,NH
6145,2025-04-28,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,6.7,12.8,0.5,0.0,0.0,NH
6146,2025-04-29,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,3.9,23.3,0.0,0.0,0.0,NH
6147,2025-04-30,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,5.0,27.8,0.0,0.0,0.0,NH
6148,2025-05-01,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,4.4,20.0,0.0,0.0,0.0,NH
6149,2025-05-02,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,8.3,23.9,5.1,0.0,0.0,NH
6150,2025-05-03,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,9.4,25.0,3.0,0.0,0.0,NH
6151,2025-05-04,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,9.4,25.0,22.9,0.0,0.0,NH
6152,2025-05-05,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,11.1,18.3,70.1,0.0,0.0,NH
6153,2025-05-06,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,8.9,12.2,5.6,0.0,0.0,NH
6154,2025-05-07,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,8.9,13.3,9.9,0.0,0.0,NH
6155,2025-05-08,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,9.15,18.05,25.0,0.0,0.0,NH
6156,2025-05-09,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,9.4,22.8,40.1,0.0,0.0,NH
6157,2025-05-10,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,6.7,9.4,46.5,0.0,0.0,NH
6158,2025-05-11,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,6.1,16.7,2.8,0.0,0.0,NH
6159,2025-05-12,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,2.2,18.9,0.0,0.0,0.0,NH
6160,2025-05-13,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,9.4,25.6,0.0,0.0,0.0,NH
6161,2025-05-14,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,6.7,22.2,0.0,0.0,0.0,NH
6162,2025-05-15,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,10.0,25.0,2.3,0.0,0.0,NH
6163,2025-05-16,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,10.0,25.0,1.3,0.0,0.0,NH
6164,2025-05-17,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,15.6,27.2,0.0,0.0,0.0,NH
6165,2025-05-18,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,12.2,25.0,6.1,0.0,0.0,NH
6166,2025-05-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,12.2,25.0,6.1,0.0,0.0,NH
9382,2025-03-21,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,1.1,7.8,5.3,0.0,152.0,NH
9383,2025-03-22,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-1.1,7.2,2.8,0.0,127.0,NH
9384,2025-03-23,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-6.7,12.8,0.0,0.0,102.0,NH
9385,2025-03-24,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-7.2,2.8,0.0,0.0,102.0,NH
9386,2025-03-25,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-6.1,0.0,14.2,140.0,229.0,NH
9387,2025-03-26,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-3.3,6.1,0.0,0.0,127.0,NH
9388,2025-03-27,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-3.9,10.0,0.0,0.0,76.0,NH
9389,2025-03-28,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-2.2,7.8,0.0,0.0,51.0,NH
9390,2025-03-29,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-1.1,10.6,7.9,76.0,127.0,NH
9391,2025-03-30,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-2.2,0.6,10.4,81.0,152.0,NH
9392,2025-03-31,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-0.6,1.1,10.9,8.0,152.0,NH
9393,2025-04-01,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,0.0,5.6,2.5,0.0,127.0,NH
9394,2025-04-02,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-5.6,6.7,0.0,0.0,51.0,NH
9395,2025-04-03,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-5.6,5.0,10.2,25.0,51.0,NH
9396,2025-04-04,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-0.6,8.3,9.1,3.0,25.0,NH
9397,2025-04-05,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,0.6,13.9,0.0,0.0,25.0,NH
9398,2025-04-06,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,0.6,5.0,9.7,0.0,25.0,NH
9399,2025-04-07,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,1.7,12.8,1.0,0.0,0.0,NH
9400,2025-04-08,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,0.0,5.6,0.0,0.0,0.0,NH
9401,2025-04-09,USC00272303,43.81,-71.3425,210.9,NH E SANDWICH,Spring,-4.4,2.2,2.8,13.0,0.0,NH
