DATE,ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,Context
2008-07-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.8,33.9,6.4,0.0,0.0,Previous
2008-07-20,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,0.3,0.0,0.0,Missing
2008-07-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,50.8,0.0,0.0,Missing
2008-07-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,24.9,0.0,0.0,Missing
2008-07-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,18.3,26.7,4.1,0.0,0.0,Next
2008-08-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,26.7,0.0,0.0,0.0,Previous
2008-08-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,28.9,0.0,0.0,0.0,Missing
2008-08-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,7.8,22.2,0.0,0.0,0.0,Next
2011-07-14,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,30.0,4.3,0.0,0.0,Previous
2011-07-15,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,12.2,26.1,0.0,,,Missing
2011-07-16,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,12.2,28.3,0.0,0.0,0.0,Next
2012-05-08,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,6.7,21.7,5.8,0.0,0.0,Previous
2012-05-09,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,10.7,0.0,0.0,Missing
2012-05-10,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,14.0,0.0,0.0,Missing
2012-05-11,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,1.5,0.0,0.0,Missing
2012-05-12,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,2.8,18.9,0.0,0.0,0.0,Next
2013-01-18,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,-11.1,4.4,0.0,0.0,102.0,Previous
2013-01-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.0,0.0,102.0,Missing
2013-01-20,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.0,0.0,102.0,Missing
2013-01-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.0,0.0,76.0,Missing
2013-01-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.5,3.0,76.0,Missing
2013-01-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.0,0.0,76.0,Missing
2013-01-24,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.0,0.0,76.0,Missing
2013-01-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,-14.4,-8.3,0.0,0.0,76.0,Next
2015-07-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,30.6,0.0,0.0,0.0,Previous
2015-07-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,0.0,0.0,0.0,Missing
2015-07-24,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,0.0,0.0,0.0,Missing
2015-07-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,4.1,0.0,0.0,Missing
2015-07-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,0.8,0.0,0.0,Missing
2015-07-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,4.3,0.0,0.0,Missing
2015-07-28,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,13.2,0.0,0.0,Missing
2015-07-29,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,,,0.0,0.0,0.0,Missing
2015-07-30,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.8,33.3,0.0,0.0,0.0,Next
2017-11-30,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Fall,-5.6,15.0,0.0,0.0,0.0,Previous
2017-12-01,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,,,0.5,0.0,0.0,Missing
2017-12-02,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Winter,-4.4,8.9,0.0,0.0,0.0,Next
2021-03-15,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-11.1,6.7,0.0,0.0,0.0,Previous
2021-03-16,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-11.1,,0.0,0.0,0.0,Missing
2021-03-17,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,-7.2,4.4,0.0,0.0,0.0,Next
2022-05-17,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,12.8,27.2,12.2,0.0,0.0,Previous
2022-05-18,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,0.0,0.0,0.0,Missing
2022-05-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,0.8,0.0,0.0,Missing
2022-05-20,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,5.6,0.0,0.0,Missing
2022-05-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,0.5,0.0,0.0,Missing
2022-05-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,,0.0,0.0,0.0,Missing
2022-05-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,12.8,33.9,5.1,0.0,0.0,Next
2022-05-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,7.2,20.0,0.0,0.0,0.0,Previous
2022-05-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,23.9,0.0,0.0,0.0,Missing
2022-05-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,,23.3,0.0,0.0,0.0,Missing
2022-05-28,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Spring,17.2,27.8,6.4,0.0,0.0,Next
