ID,Season,TMIN,TMAX,SNOW,SNWD,PRCP
US1NHBK0001,Fall,1380,1380,486,1329,1
US1NHBK0001,Spring,1353,1353,355,952,0
US1NHBK0001,Summer,1213,1213,532,1198,0
US1NHBK0001,Winter,1421,1421,179,526,9
US1NHBK0002,Fall,1238,1238,26,70,0
US1NHBK0002,Spring,1272,1272,1,0,0
US1NHBK0002,Summer,1312,1312,41,69,0
US1NHBK0002,Winter,1359,1359,2,5,0
US1NHBK0009,Fall,1440,1440,474,1104,0
US1NHBK0009,Spring,1361,1361,304,754,2
US1NHBK0009,Summer,1351,1351,596,1290,2
US1NHBK0009,Winter,1425,1425,21,457,4
US1NHCH0002,Fall,1214,1214,483,1214,0
US1NHCH0002,Spring,1287,1287,471,1287,0
US1NHCH0002,Summer,1354,1354,628,1354,0
US1NHCH0002,Winter,1401,1401,240,1400,1
US1NHCH0021,Fall,739,739,166,530,7
US1NHCH0021,Spring,770,770,170,495,7
US1NHCH0021,Summer,789,789,237,604,10
US1NHCH0021,Winter,830,830,143,602,2
US1NHCR0011,Fall,1364,1364,122,466,6
US1NHCR0011,Spring,1322,1322,66,253,6
US1NHCR0011,Summer,1382,1382,166,427,4
US1NHCR0011,Winter,1395,1395,11,116,2
US1NHGR0001,Fall,1456,1456,502,1185,0
US1NHGR0001,Spring,1380,1380,275,583,0
US1NHGR0001,Summer,1452,1452,724,1452,0
US1NHGR0001,Winter,1441,1441,30,79,4
US1NHHL0019,Fall,733,733,189,604,13
US1NHHL0019,Spring,703,703,116,543,30
US1NHHL0019,Summer,736,736,236,617,0
US1NHHL0019,Winter,830,830,53,669,53
US1NHHL0048,Fall,1263,1263,392,1183,0
US1NHHL0048,Spring,1280,1280,213,596,0
US1NHHL0048,Summer,1260,1260,464,1260,0
US1NHHL0048,Winter,1332,1332,102,292,0
US1NHHL0049,Fall,1063,1063,441,1035,5
US1NHHL0049,Spring,1126,1126,450,966,22
US1NHHL0049,Summer,1064,1064,536,1064,0
US1NHHL0049,Winter,1211,1211,230,703,31
US1NHMR0004,Fall,1356,1356,220,826,6
US1NHMR0004,Spring,1329,1329,79,266,3
US1NHMR0004,Summer,1309,1309,256,964,7
US1NHMR0004,Winter,1440,1440,18,36,0
US1NHMR0006,Fall,1456,1456,769,1293,0
US1NHMR0006,Spring,1380,1380,511,751,0
US1NHMR0006,Summer,1442,1442,941,1441,0
US1NHMR0006,Winter,1441,1441,81,121,1
US1NHMR0015,Fall,1311,1311,479,1288,5
US1NHMR0015,Spring,1335,1335,460,1279,2
US1NHMR0015,Summer,1329,1329,625,1329,0
US1NHMR0015,Winter,1331,1331,184,1190,8
US1NHMR0025,Fall,1340,1340,30,71,0
US1NHMR0025,Spring,1283,1283,0,6,0
US1NHMR0025,Summer,1281,1281,0,3,0
US1NHMR0025,Winter,1348,1348,6,23,0
US1NHMR0045,Fall,1050,1050,0,0,0
US1NHMR0045,Spring,999,999,2,83,2
US1NHMR0045,Summer,961,961,1,1,0
US1NHMR0045,Winter,1069,1069,1,67,1
US1NHMR0047,Fall,817,817,381,794,0
US1NHMR0047,Spring,782,782,324,709,0
US1NHMR0047,Summer,773,773,402,773,0
US1NHMR0047,Winter,828,828,135,631,1
US1NHMR0051,Fall,759,759,380,757,0
US1NHMR0051,Spring,729,729,342,729,0
US1NHMR0051,Summer,743,743,431,743,0
US1NHMR0051,Winter,803,803,188,789,2
US1NHMR0055,Fall,702,702,11,57,8
US1NHMR0055,Spring,704,704,6,106,7
US1NHMR0055,Summer,691,691,5,126,6
US1NHMR0055,Winter,779,779,3,41,13
US1NHRC0024,Fall,1299,1299,503,1287,7
US1NHRC0024,Spring,1338,1338,535,1328,2
US1NHRC0024,Summer,1330,1330,570,1329,1
US1NHRC0024,Winter,1417,1417,303,1389,4
