ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
US1NHBK0001,2025,2,SNWD,203.0,203.0,241.0,216.0,203.0,203.0,279.0,267.0,457.0,445.0,432.0,406.0,419.0,381.0,381.0,457.0,533.0,533.0,508.0,483.0,432.0,432.0,406.0,381.0,,343.0,318.0,394.0,,,
US1NHBK0001,2025,3,SNWD,394.0,381.0,368.0,356.0,330.0,305.0,279.0,,267.0,229.0,203.0,178.0,152.0,127.0,127.0,76.0,,,,,,,,,89.0,,,,,,
US1NHBK0002,2025,2,SNWD,178.0,165.0,203.0,165.0,165.0,165.0,254.0,241.0,457.0,381.0,381.0,356.0,343.0,330.0,330.0,419.0,457.0,445.0,445.0,432.0,,432.0,419.0,406.0,381.0,356.0,330.0,381.0,,,
US1NHBK0002,2025,3,SNWD,381.0,356.0,356.0,356.0,343.0,254.0,203.0,191.0,191.0,191.0,165.0,114.0,102.0,89.0,51.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,76.0,,,,,,
US1NHBK0009,2025,2,SNWD,178.0,,203.0,191.0,178.0,,267.0,,445.0,406.0,381.0,,318.0,330.0,318.0,419.0,445.0,,,381.0,368.0,,,,,343.0,305.0,394.0,,,
US1NHBK0009,2025,3,SNWD,406.0,,356.0,343.0,343.0,305.0,241.0,241.0,229.0,229.0,203.0,140.0,127.0,102.0,76.0,38.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,140.0,,,,,,
US1NHBK0018,2025,3,SNWD,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
US1NHBK0026,2025,2,SNWD,216.0,203.0,241.0,254.0,241.0,241.0,330.0,318.0,508.0,495.0,483.0,483.0,483.0,432.0,406.0,457.0,521.0,483.0,470.0,457.0,445.0,432.0,419.0,419.0,406.0,356.0,330.0,381.0,,,
US1NHBK0026,2025,3,SNWD,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,
US1NHBK0034,2025,2,SNWD,152.0,,178.0,,,,229.0,,406.0,406.0,,,,,,330.0,406.0,,,,,,,343.0,,,,318.0,,,
US1NHBK0034,2025,3,SNWD,343.0,,305.0,,,229.0,,,,140.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,,,,,
US1NHCH0020,2025,2,SNWD,,,,,,,,,343.0,,,,,,,,,,,,,,,,,,,,,,
US1NHCH0027,2025,2,SNWD,,,,,,,,,,,,,,,,,,368.0,,,,,,,,,,,,,
US1NHCH0027,2025,3,SNWD,292.0,,,,,,,,,165.0,127.0,102.0,102.0,89.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
