ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00270690,2025,2,TMAX,17.0,-100.0,-56.0,28.0,-39.0,-106.0,0.0,-22.0,-39.0,-39.0,-50.0,-28.0,-28.0,11.0,17.0,-44.0,-56.0,-94.0,-111.0,-67.0,-28.0,-78.0,-17.0,-22.0,44.0,100.0,33.0,56.0,,,
USC00270690,2025,3,TMAX,17.0,50.0,-106.0,-56.0,56.0,89.0,106.0,0.0,-28.0,6.0,50.0,150.0,6.0,39.0,144.0,178.0,178.0,83.0,100.0,156.0,167.0,33.0,122.0,-33.0,11.0,,,,,,
USC00270913,2025,2,TMAX,0.0,-78.0,,,,,,-28.0,-17.0,-33.0,,,,,,,,,,,,,,,,,,,,,
USC00271190,2025,2,TMAX,-11.0,-117.0,,6.0,-72.0,-150.0,-50.0,-72.0,-100.0,-83.0,-83.0,,-72.0,-28.0,-67.0,-28.0,-106.0,-139.0,-172.0,-94.0,-61.0,,-67.0,-61.0,-17.0,44.0,11.0,,,,
USC00271190,2025,3,TMAX,,11.0,-122.0,-94.0,-6.0,,50.0,-100.0,-100.0,-39.0,-6.0,61.0,,,72.0,94.0,94.0,44.0,22.0,89.0,89.0,-6.0,67.0,-67.0,-22.0,,,,,,
USC00271647,2025,2,TMAX,0.0,-111.0,-72.0,-6.0,-67.0,-117.0,-22.0,-33.0,-44.0,-33.0,,,-28.0,-6.0,-6.0,-56.0,-56.0,-111.0,-128.0,-78.0,-50.0,-94.0,-17.0,-39.0,33.0,78.0,22.0,,,,
USC00271647,2025,3,TMAX,6.0,44.0,-122.0,-61.0,33.0,67.0,,-17.0,-17.0,-17.0,28.0,139.0,-17.0,56.0,122.0,172.0,167.0,72.0,106.0,189.0,183.0,22.0,111.0,-22.0,,,,,,,
USC00271800,2025,2,TMAX,0.0,-100.0,-67.0,17.0,-72.0,-128.0,-17.0,-11.0,-50.0,-50.0,-83.0,-39.0,-39.0,0.0,-94.0,-56.0,-50.0,-106.0,-122.0,-89.0,-44.0,-94.0,-39.0,-44.0,33.0,78.0,11.0,39.0,,,
USC00271800,2025,3,TMAX,-6.0,44.0,-133.0,-72.0,,67.0,89.0,-22.0,-78.0,0.0,39.0,128.0,28.0,128.0,122.0,161.0,156.0,72.0,94.0,128.0,128.0,6.0,100.0,-22.0,0.0,,,,,,
USC00272302,2025,2,TMAX,17.0,-39.0,-39.0,61.0,33.0,33.0,6.0,11.0,6.0,11.0,-6.0,-6.0,-6.0,33.0,-6.0,-28.0,-28.0,-28.0,-50.0,-17.0,,-6.0,28.0,44.0,67.0,106.0,89.0,44.0,,,
USC00272302,2025,3,TMAX,61.0,117.0,-39.0,-6.0,89.0,117.0,144.0,44.0,28.0,50.0,139.0,178.0,56.0,72.0,139.0,183.0,194.0,133.0,122.0,161.0,150.0,61.0,167.0,167.0,17.0,,,,,,
