ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00270690,2025,2,TMIN,-122.0,-272.0,-244.0,-78.0,-156.0,-228.0,-222.0,-111.0,-128.0,-117.0,-189.0,-183.0,-150.0,-111.0,-172.0,-167.0,-128.0,-150.0,-183.0,-228.0,-222.0,-117.0,-111.0,-67.0,-61.0,-28.0,-83.0,-61.0,,,
USC00270690,2025,3,TMIN,-72.0,-167.0,-222.0,-217.0,-217.0,-6.0,-89.0,-89.0,-78.0,-50.0,-44.0,-56.0,-72.0,-72.0,-61.0,-28.0,17.0,-44.0,-39.0,-39.0,28.0,-44.0,-100.0,-94.0,-50.0,,,,,,
USC00270913,2025,2,TMIN,-83.0,-239.0,,,,,,-122.0,-78.0,-117.0,,,,,,,,,,,,,,,,,,,,,
USC00271190,2025,2,TMIN,-117.0,-222.0,,-100.0,-200.0,-200.0,-156.0,-144.0,-144.0,-139.0,-167.0,,-161.0,-172.0,-178.0,-172.0,-178.0,-211.0,-206.0,-183.0,-156.0,,-178.0,-111.0,-128.0,-39.0,-83.0,,,,
USC00271190,2025,3,TMIN,,-217.0,-228.0,-194.0,-94.0,,-144.0,-144.0,-139.0,-117.0,-117.0,-100.0,,,-11.0,28.0,22.0,-72.0,-67.0,-11.0,-11.0,-67.0,-144.0,-150.0,-106.0,,,,,,
USC00271647,2025,2,TMIN,-117.0,-317.0,-317.0,-72.0,-161.0,-267.0,-267.0,-133.0,-144.0,-139.0,,,-200.0,-133.0,-239.0,-244.0,-144.0,-167.0,-183.0,-267.0,-272.0,-128.0,-117.0,-83.0,-89.0,-39.0,-122.0,,,,
USC00271647,2025,3,TMIN,-106.0,-183.0,-278.0,-156.0,-122.0,-39.0,,-106.0,-100.0,-94.0,-89.0,-72.0,-128.0,-111.0,-78.0,-33.0,22.0,-56.0,-56.0,-50.0,11.0,-61.0,-106.0,-117.0,,,,,,,
USC00271800,2025,2,TMIN,-106.0,-261.0,-267.0,-78.0,-178.0,-200.0,-200.0,-206.0,-111.0,-100.0,-172.0,-178.0,-172.0,-172.0,-183.0,-183.0,-139.0,-167.0,-189.0,-217.0,-217.0,-144.0,-144.0,-72.0,-67.0,-17.0,-67.0,-50.0,,,
USC00271800,2025,3,TMIN,-89.0,-189.0,-233.0,-239.0,,-28.0,-117.0,-117.0,-100.0,-89.0,-33.0,-56.0,-67.0,-67.0,-67.0,28.0,39.0,-56.0,-61.0,-61.0,0.0,-78.0,-117.0,-117.0,-72.0,,,,,,
USC00272302,2025,2,TMIN,-100.0,-194.0,-194.0,-194.0,-111.0,-161.0,-139.0,-128.0,-117.0,-89.0,-178.0,-167.0,-128.0,-56.0,-128.0,-117.0,-117.0,-100.0,-128.0,-150.0,,-100.0,-83.0,-83.0,-22.0,-6.0,-22.0,-22.0,,,
