DATE,Station_ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,Station_Location,Station_Lat_Long_Interaction,Day_of_Week,Day_of_Year,Month,Temp_Diff,Rolling_Mean_TMIN_7,Rolling_10thPercentile_TMIN_7,Rolling_Mean_TMIN_30,Rolling_Max_TMIN_30,Rolling_Min_TMIN_30,TMIN_Rolling_30_Diff,EWMA_TMIN_7,EWMA_TMIN_30,Seasonal_TMIN_Anomaly,TMIN_Lag1,SnowyDay,SnowyDaysCount_7,Cumulative_SnowDepth_7,Rolling_Sum_SNWD_7,SNWD_Lag1,SNWD_Lag2,Cumulative_Snowfall_Lag7,SNWD_TMIN_Interaction,Snowfall_Intensity,SNWD_Snowfall_Diff,PRCP_Lag1,PRCP_Lag2,Cumulative_Precipitation_7,Rolling_Sum_PRCP_14,TMAX_PRCP_Interaction,TMIN_SNOW_Interaction,PRCP_SNOW_Interaction,Cold_Event
2008-07-01,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,28.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,1,183,7,12.7,15.6,15.6,15.6,15.6,15.6,0.0,15.6,15.6,-0.31,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-07-02,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,30.0,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,184,7,14.4,15.6,15.6,15.6,15.6,15.6,0.0,15.6,15.6,-0.45,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-07-03,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,12.8,27.8,8.1,0.0,0.0,42.8267_-71.6261,-3067.51,3,185,7,15.0,14.67,13.36,14.67,15.6,12.8,-1.87,14.9,15.42,-2.22,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,8.1,225.18,0.0,0.0,1
2008-07-04,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,30.6,16.3,0.0,0.0,42.8267_-71.6261,-3067.51,4,186,7,14.5,15.02,13.64,15.02,16.1,12.8,1.08,15.2,15.46,0.86,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,24.4,24.4,498.78,0.0,0.0,0
2008-07-05,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,22.8,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,5,187,7,6.7,15.24,13.92,15.24,16.1,12.8,0.86,15.42,15.5,0.15,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,8.1,24.4,24.4,0.0,0.0,0.0,0
2008-07-06,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,14.4,23.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,6,188,7,8.9,15.1,13.6,15.1,16.1,12.8,-0.7,15.17,15.43,-2.54,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,24.4,24.4,0.0,0.0,0.0,0
2008-07-07,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,28.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,0,189,7,12.7,15.17,13.76,15.17,16.1,12.8,0.43,15.28,15.44,-1.11,14.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,24.4,0.0,0.0,0.0,0
2008-07-08,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,18.3,30.6,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,1,190,7,12.3,15.56,13.76,15.56,18.3,12.8,2.74,16.03,15.63,1.74,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,24.4,0.0,0.0,0.0,0
2008-07-09,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,20.0,32.2,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,191,7,12.2,16.19,13.76,16.06,20.0,12.8,3.94,17.02,15.91,3.66,18.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,24.4,0.0,0.0,0.0,0
2008-07-10,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,20.6,32.2,3.3,0.0,0.0,42.8267_-71.6261,-3067.51,3,192,7,11.6,17.3,15.12,16.51,20.6,12.8,4.09,17.92,16.21,5.03,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,27.7,106.26,0.0,0.0,0
