DATE,Station_ID,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,LATITUDE,LONGITUDE,ELEVATION,STATION_NAME
2025-03-26,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,51.0,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-03-27,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-03-28,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-03-29,US1NHBK0001,US1NHBK0001,Spring,,,6.1,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-03-30,US1NHBK0001,US1NHBK0001,Spring,,,12.4,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-03-31,US1NHBK0001,US1NHBK0001,Spring,,,8.1,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-01,US1NHBK0001,US1NHBK0001,Spring,,,2.0,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-02,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-03,US1NHBK0001,US1NHBK0001,Spring,,,10.9,8.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-04,US1NHBK0001,US1NHBK0001,Spring,,,4.6,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-05,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-06,US1NHBK0001,US1NHBK0001,Spring,,,11.2,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-07,US1NHBK0001,US1NHBK0001,Spring,,,0.3,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-08,US1NHBK0001,US1NHBK0001,Spring,,,0.3,3.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-09,US1NHBK0001,US1NHBK0001,Spring,,,3.0,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-10,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-11,US1NHBK0001,US1NHBK0001,Spring,,,0.8,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-12,US1NHBK0001,US1NHBK0001,Spring,,,6.4,81.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-13,US1NHBK0001,US1NHBK0001,Spring,,,1.8,25.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-14,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-15,US1NHBK0001,US1NHBK0001,Spring,,,5.6,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-16,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-17,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-18,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-19,US1NHBK0001,US1NHBK0001,Spring,,,0.0,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-20,US1NHBK0001,US1NHBK0001,Spring,,,0.0,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-21,US1NHBK0001,US1NHBK0001,Spring,,,0.0,0.0,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-04-22,US1NHBK0001,US1NHBK0001,Spring,,,4.1,,,43.48,-71.55,207.3,TILTON NORTHFIELD 3.3 NE
2025-03-26,US1NHBK0002,US1NHBK0002,Spring,,,0.0,0.0,38.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-03-27,US1NHBK0002,US1NHBK0002,Spring,,,0.0,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-03-29,US1NHBK0002,US1NHBK0002,Spring,,,3.3,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-03-30,US1NHBK0002,US1NHBK0002,Spring,,,10.2,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-03-31,US1NHBK0002,US1NHBK0002,Spring,,,8.9,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-04-01,US1NHBK0002,US1NHBK0002,Spring,,,2.0,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-04-03,US1NHBK0002,US1NHBK0002,Spring,,,9.9,8.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-04-04,US1NHBK0002,US1NHBK0002,Spring,,,4.8,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-04-05,US1NHBK0002,US1NHBK0002,Spring,,,0.0,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-04-06,US1NHBK0002,US1NHBK0002,Spring,,,9.7,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
2025-04-07,US1NHBK0002,US1NHBK0002,Spring,,,4.6,0.0,0.0,43.4356,-71.5069,214.0,BELMONT 1.7 SW
