Station_ID,Feature,IQR Outliers,Z-score Outliers
USC00272302,ELEVATION,0,0
USC00272302,LATITUDE,0,0
USC00272302,LONGITUDE,0,0
USC00272302,PRCP,1095,160
USC00272302,SNOW,367,116
USC00272302,SNWD,1198,154
USC00272302,TMAX,0,0
USC00272302,TMIN,0,0
USC00272303,ELEVATION,0,0
USC00272303,LATITUDE,0,0
USC00272303,LONGITUDE,0,0
USC00272303,PRCP,524,90
USC00272303,SNOW,412,63
USC00272303,SNWD,187,62
USC00272303,TMAX,0,0
USC00272303,TMIN,6,0
USC00273626,ELEVATION,0,0
USC00273626,LATITUDE,0,0
USC00273626,LONGITUDE,0,0
USC00273626,PRCP,3300,428
USC00273626,SNOW,1092,363
USC00273626,SNWD,3192,539
USC00273626,TMAX,0,0
USC00273626,TMIN,23,11
USC00273860,ELEVATION,0,0
USC00273860,LATITUDE,0,0
USC00273860,LONGITUDE,0,0
USC00273860,PRCP,133,31
USC00273860,SNOW,172,34
USC00273860,SNWD,0,0
USC00273860,TMAX,3,3
USC00273860,TMIN,5,3
USC00275703,ELEVATION,0,0
USC00275703,LATITUDE,0,0
USC00275703,LONGITUDE,0,0
USC00275703,PRCP,694,103
USC00275703,SNOW,260,65
USC00275703,SNWD,607,84
USC00275703,TMAX,0,0
USC00275703,TMIN,0,0
USC00275995,ELEVATION,0,0
USC00275995,LATITUDE,0,0
USC00275995,LONGITUDE,0,0
USC00275995,PRCP,3260,487
USC00275995,SNOW,1922,436
USC00275995,SNWD,2681,426
USC00275995,TMAX,0,1
USC00275995,TMIN,10,2
USC00276365,ELEVATION,0,0
USC00276365,LATITUDE,0,0
USC00276365,LONGITUDE,0,0
USC00276365,PRCP,279,45
USC00276365,SNOW,281,51
USC00276365,SNWD,191,35
USC00276365,TMAX,0,0
USC00276365,TMIN,16,5
USC00278614,ELEVATION,0,0
USC00278614,LATITUDE,0,0
USC00278614,LONGITUDE,0,0
USC00278614,PRCP,1553,221
USC00278614,SNOW,943,199
USC00278614,SNWD,1006,206
USC00278614,TMAX,0,0
USC00278614,TMIN,0,0
USC00279278,ELEVATION,0,0
USC00279278,LATITUDE,0,0
USC00279278,LONGITUDE,0,0
USC00279278,PRCP,1167,167
USC00279278,SNOW,551,127
USC00279278,SNWD,1417,211
USC00279278,TMAX,0,0
USC00279278,TMIN,1,1
USW00014755,ELEVATION,0,0
USW00014755,LATITUDE,0,0
USW00014755,LONGITUDE,0,0
USW00014755,PRCP,2856,603
USW00014755,SNOW,4781,650
USW00014755,SNWD,2117,535
USW00014755,TMAX,25,30
USW00014755,TMIN,15,22
