DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-02-01,USC00272302,-10.080731,-10.0,-10.510731,-9.650731,0.0
2025-02-02,USC00272302,-19.059572,-19.4,-19.489572,-18.629572,0.0
2025-02-03,USC00272302,-18.761526,-19.4,-19.191526,-18.331526,0.0
2025-02-04,USC00272302,-7.533619,-7.2,-7.963619,-7.103619,0.0
2025-02-05,USC00272302,-11.229667,-11.1,-11.659666999999999,-10.799667,0.0
2025-02-06,USC00272302,-16.018587,-16.1,-16.448587,-15.588587,0.0
2025-02-07,USC00272302,-13.935369,-13.9,-14.365369,-13.505369,0.0
2025-02-08,USC00272302,-12.673308,-12.8,-13.103308,-12.243308,0.0
2025-02-09,USC00272302,-11.558934,-11.7,-11.988934,-11.128934000000001,0.0
2025-02-10,USC00272302,-8.768932,-8.9,-9.198932,-8.338932,0.0
2025-02-11,USC00272302,-17.662699,-17.8,-18.092699,-17.232699,0.0
2025-02-12,USC00272302,-16.089867,-16.7,-16.519867,-15.659867000000002,0.0
2025-02-13,USC00272302,-12.780794,-12.8,-13.210794,-12.350794,0.0
2025-02-14,USC00272302,-5.843696,-5.6,-6.273695999999999,-5.413696,0.0
2025-02-15,USC00272302,-12.961115,-12.8,-13.391115,-12.531115,0.0
2025-02-16,USC00272302,-11.939987,-11.7,-12.369987,-11.509987,0.0
2025-02-17,USC00272302,-11.897743,-11.7,-12.327743,-11.467743,0.0
2025-02-18,USC00272302,-9.914905,-10.0,-10.344904999999999,-9.484905,0.0
2025-02-19,USC00272302,-12.609537,-12.8,-13.039537,-12.179537,0.0
2025-02-20,USC00272302,-15.084334,-15.0,-15.514334,-14.654334,0.0
2025-02-21,USC00272302,-14.694874,-15.0,-15.124874,-14.264874,0.0
2025-02-22,USC00272302,-10.12962,-10.0,-10.559619999999999,-9.69962,0.0
2025-02-23,USC00272302,-7.9277897,-8.3,-8.3577897,-7.4977897,0.0
2025-02-24,USC00272302,-8.134684,-8.3,-8.564684,-7.704684,0.0
2025-02-25,USC00272302,-2.713039,-2.2,-3.1430390000000004,-2.283039,0.0
2025-02-26,USC00272302,-1.4576544,-0.6,-1.8876544,-1.0276544,0.0
2025-02-27,USC00272302,-2.5457606,-2.2,-2.9757606,-2.1157605999999998,0.0
2025-02-28,USC00272302,-2.2200496,-2.2,-2.6500496,-1.7900496,0.0
2025-02-01,USC00275703,-3.1239524,-2.2,-3.5539524,-2.6939523999999997,0.0
2025-02-02,USC00275703,-19.934393,-20.0,-20.364393,-19.504393,0.0
2025-02-03,USC00275703,-14.489964,-15.0,-14.919964,-14.059964,0.0
2025-02-04,USC00275703,-6.6262107,-7.2,-7.056210699999999,-6.1962107,0.0
2025-02-05,USC00275703,-12.005008,-12.2,-12.435008,-11.575008,0.0
2025-02-06,USC00275703,-15.480134,-16.1,-15.910134,-15.050134,0.0
2025-02-07,USC00275703,-13.91318,-13.9,-14.34318,-13.48318,0.0
2025-02-08,USC00275703,-10.270588,-10.6,-10.700588,-9.840588,0.0
2025-02-09,USC00275703,-10.531169,-10.6,-10.961169,-10.101169,0.0
2025-02-10,USC00275703,-9.579223,-9.4,-10.009223,-9.149223000000001,0.0
2025-02-11,USC00275703,-15.825808,-16.1,-16.255808000000002,-15.395808,0.0
2025-02-12,USC00275703,-15.633552,-16.1,-16.063552,-15.203552,0.0
2025-02-13,USC00275703,-10.950078,-11.1,-11.380078,-10.520078,0.0
2025-02-14,USC00275703,-5.532836,-5.6,-5.962835999999999,-5.102836,0.0
2025-02-15,USC00275703,-12.085982,-12.2,-12.515982,-11.655982,0.0
2025-02-16,USC00275703,-11.029484,-11.1,-11.459484,-10.599484,0.0
2025-02-17,USC00275703,-6.058002,-6.7,-6.488002,-5.628002,0.0
2025-02-18,USC00275703,-12.335493,-12.2,-12.765493,-11.905493,0.0
2025-02-19,USC00275703,-13.605516,-13.3,-14.035516,-13.175516,0.0
2025-02-20,USC00275703,-15.468114,-15.6,-15.898114,-15.038114,0.0
2025-02-21,USC00275703,-11.651192,-11.7,-12.081192,-11.221192,0.0
2025-02-22,USC00275703,-10.601431,-10.6,-11.031431,-10.171431,0.0
2025-02-23,USC00275703,-14.407917,-15.0,-14.837917,-13.977917,0.0
2025-02-24,USC00275703,-5.046788,-4.4,-5.476788,-4.616788000000001,0.0
2025-02-25,USC00275703,-4.9965954,-4.4,-5.4265954,-4.566595400000001,0.0
2025-02-26,USC00275703,0.4795883,0.6,0.04958830000000003,0.9095883,0.0
2025-02-27,USC00275703,-3.0726163,-2.8,-3.5026163,-2.6426163,0.0
2025-02-28,USC00275703,-2.3327336,-2.2,-2.7627336000000002,-1.9027336000000001,0.0
2025-02-01,USC00278614,-8.2687,-8.3,-8.6987,-7.838700000000001,0.0
2025-02-02,USC00278614,-23.175333,-25.0,-23.605332999999998,-22.745333,28.027584999999995
2025-02-03,USC00278614,-23.61293,-25.0,-24.04293,-23.18293,32.403555
2025-02-04,USC00278614,-8.907319,-8.3,-9.337318999999999,-8.477319,0.0
