DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-01-01,USC00430193,-2.2649865,-2.2,-2.6449865,-1.8849865000000001,0.0
2025-01-02,USC00430193,-7.173978,-7.2,-7.553978,-6.793978,0.0
2025-01-03,USC00430193,-9.749469,-10.0,-10.129469,-9.369468999999999,0.0
2025-01-04,USC00430193,-16.818995,-17.2,-17.198995,-16.438995000000002,0.0
2025-01-05,USC00430193,-21.45711,-22.2,-21.83711,-21.07711,0.0
2025-01-06,USC00430193,-21.249226,-20.6,-21.629226,-20.869226,0.0
2025-01-07,USC00430193,-17.893484,-17.2,-18.273484,-17.513484000000002,0.0
2025-01-08,USC00430193,-18.695118,-18.3,-19.075118,-18.315118000000002,0.0
2025-01-09,USC00430193,-17.99264,-17.8,-18.37264,-17.612640000000003,0.0
2025-01-10,USC00430193,-18.1902,-17.8,-18.5702,-17.810200000000002,0.0
2025-01-11,USC00430193,-17.448715,-17.2,-17.828715,-17.068715,0.0
2025-01-12,USC00430193,-13.132284,-11.7,-13.512284000000001,-12.752284,0.0
2025-01-13,USC00430193,-15.719796,-15.0,-16.099796,-15.339796,0.0
2025-01-14,USC00430193,-14.920104,-14.4,-15.300104000000001,-14.540104,0.0
2025-01-15,USC00430193,-15.10383,-15.0,-15.483830000000001,-14.72383,0.0
2025-01-16,USC00430193,-18.130697,-17.8,-18.510697,-17.750697000000002,0.0
2025-01-17,USC00430193,-15.551512,-15.0,-15.931512000000001,-15.171512,0.0
2025-01-18,USC00430193,-16.04013,-15.0,-16.42013,-15.66013,0.0
2025-01-19,USC00430193,-17.39488,-16.1,-17.77488,-17.01488,0.0
2025-01-20,USC00430193,-19.015917,-18.3,-19.395917,-18.635917000000003,0.0
2025-01-21,USC00430193,-18.777916,-18.3,-19.157916,-18.397916000000002,0.0
2025-01-22,USC00430193,-28.34659,-29.4,-28.726589999999998,-27.96659,50.24482200000001
2025-01-23,USC00430193,-23.85037,-23.9,-24.23037,-23.470370000000003,5.282622000000039
2025-01-24,USC00430193,-19.353682,-18.9,-19.733681999999998,-18.973682,0.0
2025-01-25,USC00430193,-27.77226,-27.2,-28.15226,-27.39226,44.501522000000016
2025-01-26,USC00430193,-19.648685,-19.4,-20.028685,-19.268685,0.0
2025-01-27,USC00430193,-11.6865425,-11.1,-12.0665425,-11.306542499999999,0.0
2025-01-28,USC00430193,-21.139496,-20.6,-21.519496,-20.759496000000002,0.0
2025-01-29,USC00430193,-21.484411,-20.6,-21.864411,-21.104411000000002,0.0
2025-01-30,USC00430193,-23.0906,-22.8,-23.470599999999997,-22.7106,0.0
2025-01-31,USC00430193,-19.827433,-20.0,-20.207432999999998,-19.447433,0.0
2025-02-01,USC00430193,-24.289589,-24.4,-24.669589,-23.909589,9.674812000000017
2025-02-02,USC00430193,-35.3868,-33.9,-35.7668,-35.0068,100.0
2025-02-03,USC00430193,-20.513603,-20.6,-20.893603,-20.133603,0.0
2025-02-04,USC00430193,-23.35306,-22.8,-23.73306,-22.97306,0.3095220000000154
2025-02-05,USC00430193,-20.428696,-20.0,-20.808695999999998,-20.048696,0.0
2025-02-06,USC00430193,-22.000559,-21.7,-22.380558999999998,-21.620559,0.0
2025-02-07,USC00430193,-21.935873,-21.1,-22.315873,-21.555873000000002,0.0
2025-02-08,USC00430193,-20.2631,-20.0,-20.6431,-19.883100000000002,0.0
2025-02-09,USC00430193,-18.99369,-18.3,-19.37369,-18.613690000000002,0.0
2025-02-10,USC00430193,-17.445206,-16.7,-17.825205999999998,-17.065206,0.0
2025-02-11,USC00430193,-18.388922,-17.8,-18.768922,-18.008922000000002,0.0
2025-02-12,USC00430193,-23.446396,-22.8,-23.826396,-23.066396,1.242882000000023
2025-02-13,USC00430193,-8.052761,-7.8,-8.432761000000001,-7.672761,0.0
2025-02-14,USC00430193,-16.06907,-15.0,-16.44907,-15.68907,0.0
2025-02-15,USC00430193,-24.424658,-23.9,-24.804658,-24.044658000000002,11.025502000000031
2025-02-16,USC00430193,-25.050186,-23.9,-25.430186,-24.670186,17.280782000000023
2025-02-17,USC00430193,-21.661692,-21.1,-22.041691999999998,-21.281692,0.0
2025-02-18,USC00430193,-19.289776,-19.4,-19.669776,-18.909776,0.0
2025-02-19,USC00430193,-20.781206,-20.6,-21.161206,-20.401206000000002,0.0
2025-02-20,USC00430193,-19.668438,-18.9,-20.048437999999997,-19.288438,0.0
2025-02-21,USC00430193,-21.0377,-20.6,-21.4177,-20.657700000000002,0.0
2025-02-22,USC00430193,-19.641148,-18.9,-20.021148,-19.261148000000002,0.0
