DATE,Station_ID,Predicted_TMIN,Actual_TMIN
2025-01-01,USC00430193,-2.2649865,-2.2
2025-01-02,USC00430193,-7.173978,-7.2
2025-01-03,USC00430193,-9.749469,-10.0
2025-01-04,USC00430193,-16.818995,-17.2
2025-01-05,USC00430193,-21.45711,-22.2
2025-01-06,USC00430193,-21.249226,-20.6
2025-01-07,USC00430193,-17.893484,-17.2
2025-01-08,USC00430193,-18.695118,-18.3
2025-01-09,USC00430193,-17.99264,-17.8
2025-01-10,USC00430193,-18.1902,-17.8
2025-01-11,USC00430193,-17.448715,-17.2
2025-01-12,USC00430193,-13.132284,-11.7
2025-01-13,USC00430193,-15.719796,-15.0
2025-01-14,USC00430193,-14.920104,-14.4
2025-01-15,USC00430193,-15.10383,-15.0
2025-01-16,USC00430193,-18.130697,-17.8
2025-01-17,USC00430193,-15.551512,-15.0
2025-01-18,USC00430193,-16.04013,-15.0
2025-01-19,USC00430193,-17.39488,-16.1
2025-01-20,USC00430193,-19.015917,-18.3
2025-01-21,USC00430193,-18.777916,-18.3
2025-01-22,USC00430193,-28.34659,-29.4
2025-01-23,USC00430193,-23.85037,-23.9
2025-01-24,USC00430193,-19.353682,-18.9
2025-01-25,USC00430193,-27.77226,-27.2
2025-01-26,USC00430193,-19.648685,-19.4
2025-01-27,USC00430193,-11.6865425,-11.1
2025-01-28,USC00430193,-21.139496,-20.6
2025-01-29,USC00430193,-21.484411,-20.6
2025-01-30,USC00430193,-23.0906,-22.8
2025-01-31,USC00430193,-19.827433,-20.0
2025-02-01,USC00430193,-24.289589,-24.4
2025-02-02,USC00430193,-35.3868,-33.9
2025-02-03,USC00430193,-20.513603,-20.6
2025-02-04,USC00430193,-23.35306,-22.8
2025-02-05,USC00430193,-20.428696,-20.0
2025-02-06,USC00430193,-22.000559,-21.7
2025-02-07,USC00430193,-21.935873,-21.1
2025-02-08,USC00430193,-20.2631,-20.0
2025-02-09,USC00430193,-18.99369,-18.3
2025-02-10,USC00430193,-17.445206,-16.7
2025-02-11,USC00430193,-18.388922,-17.8
2025-02-12,USC00430193,-23.446396,-22.8
2025-02-13,USC00430193,-8.052761,-7.8
2025-02-14,USC00430193,-16.06907,-15.0
2025-02-15,USC00430193,-24.424658,-23.9
2025-02-16,USC00430193,-25.050186,-23.9
2025-02-17,USC00430193,-21.661692,-21.1
2025-02-18,USC00430193,-19.289776,-19.4
2025-02-19,USC00430193,-20.781206,-20.6
2025-02-20,USC00430193,-19.668438,-18.9
2025-02-21,USC00430193,-21.0377,-20.6
2025-02-22,USC00430193,-19.641148,-18.9
2025-02-23,USC00430193,-20.285982,-20.0
2025-02-24,USC00430193,-12.549997,-11.1
2025-02-25,USC00430193,-12.0994005,-11.1
2025-02-26,USC00430193,-12.900068,-12.2
2025-02-27,USC00430193,-11.850666,-11.7
2025-02-28,USC00430193,-10.8095,-10.6
2025-01-01,USC00434120,-1.5824417,-1.7
2025-01-02,USC00434120,-3.7416296,-3.9
2025-01-03,USC00434120,-8.26445,-8.3
2025-01-04,USC00434120,-14.426488,-15.0
2025-01-05,USC00434120,-14.580912,-15.0
2025-01-06,USC00434120,-19.948923,-20.0
2025-01-07,USC00434120,-18.772991,-18.3
2025-01-08,USC00434120,-17.11507,-16.1
2025-01-09,USC00434120,-17.380236,-16.7
2025-01-10,USC00434120,-15.346213,-14.4
2025-01-11,USC00434120,-18.634853,-18.3
2025-01-12,USC00434120,-12.590789,-12.2
2025-01-13,USC00434120,-14.5223255,-13.9
2025-01-14,USC00434120,-10.804721,-10.6
2025-01-15,USC00434120,-11.983777,-12.2
2025-01-16,USC00434120,-19.947758,-20.0
2025-01-17,USC00434120,-15.777458,-15.6
2025-01-18,USC00434120,-13.9099045,-13.3
2025-01-19,USC00434120,-7.9162087,-7.8
2025-01-20,USC00434120,-16.205704,-16.1
2025-01-21,USC00434120,-28.705404,-28.9
2025-01-22,USC00434120,-30.428171,-30.6
2025-01-23,USC00434120,-29.132097,-29.4
2025-01-24,USC00434120,-19.43787,-18.9
2025-01-25,USC00434120,-28.782578,-28.9
2025-01-26,USC00434120,-24.642284,-24.4
2025-01-27,USC00434120,-14.520466,-13.9
2025-01-28,USC00434120,-11.0029125,-10.6
2025-01-29,USC00434120,-23.587664,-22.8
2025-01-30,USC00434120,-20.53917,-20.6
2025-01-31,USC00434120,-16.01988,-16.1
2025-02-01,USC00434120,-16.627796,-15.6
2025-02-02,USC00434120,-32.99715,-32.8
2025-02-03,USC00434120,-24.599632,-23.3
2025-02-04,USC00434120,-8.708325,-8.3
2025-02-05,USC00434120,-19.238373,-18.9
2025-02-06,USC00434120,-27.75552,-27.2
2025-02-07,USC00434120,-22.406504,-21.7
2025-02-08,USC00434120,-16.276909,-15.6
2025-02-09,USC00434120,-14.712807,-13.9
2025-02-10,USC00434120,-14.930386,-13.9
2025-02-11,USC00434120,-19.224,-18.9
2025-02-12,USC00434120,-19.618633,-19.4
2025-02-13,USC00434120,-17.380472,-16.7
2025-02-14,USC00434120,-14.295029,-13.9
2025-02-15,USC00434120,-25.987396,-25.6
2025-02-16,USC00434120,-25.659618,-25.6
2025-02-17,USC00434120,-16.276115,-15.6
2025-02-18,USC00434120,-18.276121,-17.8
2025-02-19,USC00434120,-21.233747,-20.0
2025-02-20,USC00434120,-29.401121,-28.9
2025-02-21,USC00434120,-18.799395,-17.2
2025-02-22,USC00434120,-13.640159,-12.8
2025-02-23,USC00434120,-12.161843,-11.1
2025-02-24,USC00434120,-9.111418,-8.3
2025-02-25,USC00434120,-5.8815827,-6.1
2025-02-26,USC00434120,-2.5394716,-2.2
2025-02-27,USC00434120,-11.269421,-11.1
2025-02-28,USC00434120,-5.968304,-6.1
2025-01-01,USC00434290,-0.83280987,-0.6
2025-01-02,USC00434290,-3.9902225,-3.9
2025-01-03,USC00434290,-7.1926813,-7.2
2025-01-04,USC00434290,-13.234094,-13.9
2025-01-05,USC00434290,-14.205268,-14.4
2025-01-06,USC00434290,-17.585894,-17.2
2025-01-07,USC00434290,-18.140749,-17.8
2025-01-08,USC00434290,-16.592411,-16.1
2025-01-09,USC00434290,-17.594658,-16.7
2025-01-10,USC00434290,-15.810898,-15.0
2025-01-11,USC00434290,-11.798113,-11.7
2025-01-12,USC00434290,-10.7130165,-10.6
2025-01-13,USC00434290,-10.076896,-10.0
2025-01-14,USC00434290,-9.522075,-9.4
2025-01-15,USC00434290,-11.551312,-11.7
2025-01-16,USC00434290,-15.017946,-15.0
2025-01-17,USC00434290,-13.177876,-13.3
2025-01-18,USC00434290,-11.3078985,-11.1
2025-01-19,USC00434290,-8.231882,-8.3
2025-01-20,USC00434290,-15.484714,-15.6
2025-01-21,USC00434290,-23.534063,-23.9
2025-01-22,USC00434290,-23.118744,-22.8
2025-01-23,USC00434290,-23.249886,-22.8
2025-01-24,USC00434290,-13.878531,-12.8
2025-01-25,USC00434290,-22.12679,-21.7
2025-01-26,USC00434290,-21.047207,-21.1
2025-01-27,USC00434290,-7.273328,-6.1
2025-01-28,USC00434290,-8.429104,-8.3
2025-01-29,USC00434290,-17.449736,-17.2
2025-01-30,USC00434290,-19.446404,-19.4
2025-01-31,USC00434290,-19.756544,-20.0
2025-02-01,USC00434290,-16.03434,-15.0
2025-02-02,USC00434290,-27.34294,-26.7
2025-02-03,USC00434290,-27.093723,-26.7
2025-02-04,USC00434290,-9.277668,-8.3
2025-02-05,USC00434290,-18.937386,-18.3
2025-02-06,USC00434290,-22.647303,-22.2
2025-02-07,USC00434290,-16.230608,-15.0
2025-02-08,USC00434290,-11.387548,-10.0
2025-02-09,USC00434290,-10.377355,-9.4
2025-02-10,USC00434290,-9.429416,-9.4
2025-02-11,USC00434290,-17.93857,-17.8
2025-02-12,USC00434290,-15.720441,-15.0
2025-02-13,USC00434290,-14.842581,-14.4
2025-02-14,USC00434290,-13.867714,-13.3
2025-02-15,USC00434290,-17.422487,-17.2
2025-02-16,USC00434290,-17.152182,-16.7
2025-02-17,USC00434290,-15.472275,-15.0
2025-02-18,USC00434290,-17.51522,-16.7
2025-02-19,USC00434290,-19.659945,-19.4
2025-02-20,USC00434290,-20.955385,-21.1
2025-02-21,USC00434290,-19.975655,-20.6
2025-02-22,USC00434290,-14.312553,-13.3
2025-02-23,USC00434290,-14.010012,-13.3
2025-02-24,USC00434290,-6.221931,-6.1
2025-02-25,USC00434290,-6.0803266,-5.6
2025-02-26,USC00434290,0.61265576,0.6
2025-02-27,USC00434290,-8.846449,-8.9
2025-02-28,USC00434290,-6.3500104,-6.7
2025-01-01,USC00435490,1.2927996,1.7
2025-01-02,USC00435490,-2.3680139,-2.2
2025-01-03,USC00435490,-5.3247595,-5.0
2025-01-04,USC00435490,-10.898942,-11.1
2025-01-05,USC00435490,-11.259818,-11.1
2025-01-06,USC00435490,-16.78098,-17.2
2025-01-07,USC00435490,-17.514378,-17.8
2025-01-08,USC00435490,-14.182846,-13.9
2025-01-09,USC00435490,-14.006197,-13.9
2025-01-10,USC00435490,-13.392783,-13.3
2025-01-11,USC00435490,-12.715028,-12.8
2025-01-12,USC00435490,-9.361734,-8.9
2025-01-13,USC00435490,-12.0975065,-11.7
2025-01-14,USC00435490,-8.0431185,-7.8
2025-01-15,USC00435490,-10.447657,-10.6
2025-01-16,USC00435490,-18.850136,-18.9
2025-01-17,USC00435490,-11.571834,-11.7
2025-01-18,USC00435490,-10.143552,-10.0
2025-01-19,USC00435490,-4.5544653,-4.4
2025-01-20,USC00435490,-14.212659,-13.9
2025-01-21,USC00435490,-22.80552,-23.3
2025-01-22,USC00435490,-22.893606,-22.8
2025-01-23,USC00435490,-23.72258,-23.3
2025-01-24,USC00435490,-14.08621,-13.3
2025-01-25,USC00435490,-22.240067,-21.7
2025-01-26,USC00435490,-21.15042,-20.6
2025-01-27,USC00435490,-7.355539,-6.7
2025-01-28,USC00435490,-6.723356,-6.7
2025-01-29,USC00435490,-17.005394,-16.7
2025-01-30,USC00435490,-20.722515,-20.0
2025-01-31,USC00435490,-22.018234,-21.7
2025-02-01,USC00435490,-13.549987,-12.8
2025-02-02,USC00435490,-28.404093,-27.8
2025-02-03,USC00435490,-27.064478,-26.7
2025-02-04,USC00435490,-6.9927616,-6.1
2025-02-05,USC00435490,-19.311707,-18.3
2025-02-06,USC00435490,-23.897978,-23.3
2025-02-07,USC00435490,-21.076529,-20.6
2025-02-08,USC00435490,-11.525017,-10.0
2025-02-09,USC00435490,-10.20826,-10.0
2025-02-10,USC00435490,-8.264748,-8.3
2025-02-11,USC00435490,-18.140179,-17.2
2025-02-12,USC00435490,-14.429251,-13.9
2025-02-13,USC00435490,-14.342007,-13.9
2025-02-14,USC00435490,-12.50592,-12.2
2025-02-15,USC00435490,-19.80594,-19.4
2025-02-16,USC00435490,-19.259045,-19.4
2025-02-17,USC00435490,-13.184788,-12.2
2025-02-18,USC00435490,-15.000443,-14.4
2025-02-19,USC00435490,-22.829773,-22.8
2025-02-20,USC00435490,-24.695604,-24.4
2025-02-21,USC00435490,-24.870892,-24.4
2025-02-22,USC00435490,-18.974283,-18.3
2025-02-23,USC00435490,-19.831867,-19.4
2025-02-24,USC00435490,-6.1908965,-5.0
2025-02-25,USC00435490,-5.410571,-5.0
2025-02-26,USC00435490,0.4290241,0.6
2025-02-27,USC00435490,-7.890439,-7.8
2025-02-28,USC00435490,-2.5827448,-2.2
2025-01-01,USC00438169,-1.3014138,-1.1
2025-01-02,USC00438169,-3.9032376,-3.9
2025-01-03,USC00438169,-7.6873794,-7.8
2025-01-04,USC00438169,-13.366321,-13.9
2025-01-05,USC00438169,-14.713824,-15.0
2025-01-06,USC00438169,-21.316404,-21.7
2025-01-07,USC00438169,-21.409864,-21.1
2025-01-08,USC00438169,-16.35947,-16.1
2025-01-09,USC00438169,-18.163584,-17.2
2025-01-10,USC00438169,-15.327082,-14.4
2025-01-11,USC00438169,-14.905535,-14.4
2025-01-12,USC00438169,-10.875036,-10.6
2025-01-13,USC00438169,-11.403681,-11.1
2025-01-14,USC00438169,-9.564246,-9.4
2025-01-15,USC00438169,-11.990379,-12.2
2025-01-16,USC00438169,-17.863567,-17.8
2025-01-17,USC00438169,-13.975789,-13.9
2025-01-18,USC00438169,-12.017735,-11.7
2025-01-19,USC00438169,-5.3733206,-5.6
2025-01-20,USC00438169,-16.753792,-16.7
2025-01-21,USC00438169,-22.701103,-23.3
2025-01-22,USC00438169,-24.944365,-25.0
2025-01-23,USC00438169,-24.018703,-23.9
2025-01-24,USC00438169,-16.07999,-15.0
2025-01-25,USC00438169,-22.008759,-22.2
2025-01-26,USC00438169,-21.401018,-21.1
2025-01-27,USC00438169,-10.630175,-9.4
2025-01-28,USC00438169,-9.221838,-8.3
2025-01-29,USC00438169,-20.68625,-20.6
2025-01-30,USC00438169,-23.212872,-22.8
2025-01-31,USC00438169,-22.730778,-22.8
2025-02-01,USC00438169,-14.127275,-13.3
2025-02-02,USC00438169,-26.606571,-26.7
2025-02-03,USC00438169,-25.829826,-25.6
2025-02-04,USC00438169,-11.870153,-11.1
2025-02-05,USC00438169,-20.689358,-20.6
2025-02-06,USC00438169,-22.74591,-22.2
2025-02-07,USC00438169,-18.950024,-18.9
2025-02-08,USC00438169,-15.60496,-14.4
2025-02-09,USC00438169,-14.493341,-13.3
2025-02-10,USC00438169,-12.746993,-11.7
2025-02-11,USC00438169,-20.705929,-20.6
2025-02-12,USC00438169,-17.987532,-17.8
2025-02-13,USC00438169,-15.568122,-15.0
2025-02-14,USC00438169,-15.171367,-13.9
2025-02-15,USC00438169,-19.82971,-20.0
2025-02-16,USC00438169,-17.53805,-17.2
2025-02-17,USC00438169,-15.4626875,-15.0
2025-02-18,USC00438169,-17.490313,-16.7
2025-02-19,USC00438169,-22.556253,-22.8
2025-02-20,USC00438169,-22.299059,-22.2
2025-02-21,USC00438169,-15.005275,-14.4
2025-02-22,USC00438169,-15.093031,-14.4
2025-02-23,USC00438169,-12.646134,-11.7
2025-02-24,USC00438169,-7.511025,-7.2
2025-02-25,USC00438169,-5.593849,-5.6
2025-02-26,USC00438169,-2.3272774,-2.2
2025-02-27,USC00438169,-9.279929,-9.4
2025-02-28,USC00438169,-4.904438,-5.0
2025-01-01,USC00439988,0.2957819,0.6
2025-01-02,USC00439988,-3.1663876,-3.3
2025-01-03,USC00439988,-6.425567,-6.1
2025-01-04,USC00439988,-11.957213,-12.2
2025-01-05,USC00439988,-12.105291,-12.2
2025-01-06,USC00439988,-17.828373,-17.8
2025-01-07,USC00439988,-17.726515,-17.8
2025-01-08,USC00439988,-14.172509,-14.4
2025-01-09,USC00439988,-14.374336,-14.4
2025-01-10,USC00439988,-12.76072,-12.8
2025-01-11,USC00439988,-10.174437,-10.0
2025-01-12,USC00439988,-9.855692,-9.4
2025-01-13,USC00439988,-9.536294,-9.4
2025-01-14,USC00439988,-9.697141,-9.4
2025-01-15,USC00439988,-11.161987,-11.1
2025-01-16,USC00439988,-14.261133,-14.4
2025-01-17,USC00439988,-13.79926,-13.3
2025-01-18,USC00439988,-11.504299,-11.1
2025-01-19,USC00439988,-3.4672112,-3.3
2025-01-20,USC00439988,-16.516567,-16.1
2025-01-21,USC00439988,-19.93634,-20.0
2025-01-22,USC00439988,-20.657286,-21.1
2025-01-23,USC00439988,-21.47406,-21.1
2025-01-24,USC00439988,-14.571208,-13.3
2025-01-25,USC00439988,-20.329592,-20.0
2025-01-26,USC00439988,-19.69949,-19.4
2025-01-27,USC00439988,-8.854483,-8.3
2025-01-28,USC00439988,-7.505896,-7.8
2025-01-29,USC00439988,-13.910864,-13.9
2025-01-30,USC00439988,-18.332087,-18.3
2025-01-31,USC00439988,-18.694912,-18.3
2025-02-01,USC00439988,-12.542589,-11.7
2025-02-02,USC00439988,-23.844542,-24.4
2025-02-03,USC00439988,-24.774874,-25.0
2025-02-04,USC00439988,-9.072908,-7.8
2025-02-05,USC00439988,-17.453083,-16.7
2025-02-06,USC00439988,-19.720078,-19.4
2025-02-07,USC00439988,-15.7944145,-15.0
2025-02-08,USC00439988,-10.602758,-9.4
2025-02-09,USC00439988,-9.316892,-9.4
2025-02-10,USC00439988,-8.883249,-8.9
2025-02-11,USC00439988,-15.508868,-15.6
2025-02-12,USC00439988,-15.828137,-15.6
2025-02-13,USC00439988,-13.220787,-12.8
2025-02-14,USC00439988,-11.478372,-11.7
2025-02-15,USC00439988,-13.916533,-13.9
2025-02-16,USC00439988,-13.887898,-13.9
2025-02-17,USC00439988,-14.135154,-13.9
2025-02-18,USC00439988,-15.686435,-15.6
2025-02-19,USC00439988,-19.081161,-19.4
2025-02-20,USC00439988,-19.017443,-18.9
2025-02-21,USC00439988,-17.899181,-17.8
2025-02-22,USC00439988,-13.417017,-12.2
2025-02-23,USC00439988,-12.786939,-11.7
2025-02-24,USC00439988,-6.081662,-5.6
2025-02-25,USC00439988,-5.5676064,-5.0
2025-02-26,USC00439988,1.0944276,1.1
2025-02-27,USC00439988,-4.4868255,-4.4
2025-02-28,USC00439988,-3.0678103,-2.8
