DATE,ID,TMAX,TMIN,PRCP,SNOW,1.0,SNWD
1893-09-01,USC00272174,222.0,56.0,0.0,,,
1893-09-02,USC00272174,206.0,128.0,0.0,,,
1893-09-03,USC00272174,167.0,11.0,0.0,,,
1893-09-04,USC00272174,172.0,39.0,0.0,,,
1893-09-05,USC00272174,239.0,22.0,0.0,,,
1893-09-06,USC00272174,178.0,100.0,0.0,,,
1893-09-07,USC00272174,161.0,39.0,231.0,,,
1893-09-08,USC00272174,178.0,78.0,0.0,,,
1893-09-09,USC00272174,222.0,17.0,0.0,,,
1893-09-10,USC00272174,233.0,50.0,0.0,,,
1893-09-11,USC00272174,189.0,44.0,0.0,,,
1893-09-12,USC00272174,217.0,6.0,0.0,,,
1893-09-13,USC00272174,228.0,17.0,0.0,,,
1893-09-14,USC00272174,233.0,117.0,0.0,,,
1893-09-15,USC00272174,217.0,178.0,119.0,,,
1893-09-16,USC00272174,167.0,122.0,69.0,,,
1893-09-17,USC00272174,139.0,83.0,0.0,,,
1893-09-18,USC00272174,172.0,33.0,0.0,,,
1893-09-19,USC00272174,178.0,122.0,117.0,,,
1893-09-20,USC00272174,200.0,94.0,0.0,,,
1893-09-21,USC00272174,156.0,22.0,0.0,,,
1893-09-22,USC00272174,128.0,22.0,13.0,,,
1893-09-23,USC00272174,222.0,72.0,0.0,,,
1893-09-24,USC00272174,183.0,50.0,0.0,,,
1893-09-25,USC00272174,156.0,83.0,74.0,,,
1893-09-26,USC00272174,144.0,17.0,0.0,,,
1893-09-27,USC00272174,128.0,-11.0,0.0,,,
1893-09-28,USC00272174,156.0,-6.0,0.0,,,
1893-09-29,USC00272174,117.0,0.0,0.0,,,
1893-09-30,USC00272174,144.0,33.0,0.0,,,
1893-10-01,USC00272174,144.0,17.0,0.0,,,
1893-10-02,USC00272174,206.0,89.0,0.0,,,
1893-10-03,USC00272174,217.0,17.0,0.0,,,
1893-10-04,USC00272174,139.0,106.0,0.0,,,
1893-10-05,USC00272174,206.0,106.0,0.0,,,
1893-10-06,USC00272174,217.0,22.0,0.0,,,
1893-10-07,USC00272174,228.0,106.0,76.0,,,
1893-10-08,USC00272174,206.0,22.0,0.0,,,
1893-10-09,USC00272174,233.0,28.0,0.0,,,
1893-10-10,USC00272174,156.0,61.0,0.0,,,
1893-10-11,USC00272174,200.0,-6.0,0.0,,,
1893-10-12,USC00272174,239.0,0.0,0.0,,,
1893-10-13,USC00272174,222.0,22.0,0.0,,,
1893-10-14,USC00272174,206.0,122.0,274.0,,,
1893-10-15,USC00272174,139.0,72.0,0.0,,,
1893-10-16,USC00272174,83.0,6.0,0.0,,,
1893-10-17,USC00272174,172.0,-50.0,0.0,,,
1893-10-18,USC00272174,144.0,-22.0,0.0,,,
1893-10-19,USC00272174,100.0,-6.0,0.0,,,
1893-10-20,USC00272174,133.0,33.0,0.0,,,
1893-10-21,USC00272174,189.0,17.0,0.0,,,
1893-10-22,USC00272174,222.0,22.0,0.0,,,
1893-10-23,USC00272174,183.0,67.0,249.0,,,
1893-10-24,USC00272174,206.0,144.0,0.0,,,
1893-10-25,USC00272174,150.0,67.0,0.0,,,
1893-10-26,USC00272174,128.0,-11.0,0.0,,,
1893-10-27,USC00272174,122.0,61.0,300.0,,,
1893-10-28,USC00272174,139.0,33.0,0.0,,,
1893-10-29,USC00272174,89.0,6.0,0.0,0.0,,
1893-10-30,USC00272174,56.0,-28.0,0.0,,,
1893-10-31,USC00272174,50.0,-78.0,0.0,,,
1893-11-01,USC00272174,122.0,-61.0,0.0,0.0,,
1893-11-02,USC00272174,167.0,-17.0,0.0,0.0,,
1893-11-03,USC00272174,144.0,44.0,3.0,0.0,,
1893-11-04,USC00272174,28.0,-44.0,66.0,0.0,,
1893-11-05,USC00272174,72.0,-44.0,0.0,0.0,,
1893-11-06,USC00272174,111.0,-67.0,0.0,0.0,,
1893-11-07,USC00272174,111.0,-56.0,0.0,0.0,,
1893-11-08,USC00272174,94.0,-50.0,0.0,0.0,,
1893-11-09,USC00272174,122.0,-22.0,0.0,0.0,,
1893-11-10,USC00272174,61.0,-67.0,0.0,0.0,,
1893-11-11,USC00272174,106.0,-89.0,0.0,0.0,,
1893-11-12,USC00272174,72.0,-56.0,0.0,0.0,,
1893-11-13,USC00272174,111.0,0.0,0.0,0.0,,
1893-11-14,USC00272174,111.0,-11.0,0.0,0.0,,
1893-11-15,USC00272174,56.0,0.0,43.0,33.0,,
1893-11-16,USC00272174,22.0,-33.0,0.0,0.0,,
1893-11-17,USC00272174,100.0,-50.0,0.0,0.0,,
1893-11-18,USC00272174,122.0,6.0,0.0,0.0,,
1893-11-19,USC00272174,33.0,-44.0,0.0,0.0,,
1893-11-20,USC00272174,22.0,-56.0,0.0,25.0,,
1893-11-21,USC00272174,44.0,-89.0,0.0,0.0,,
1893-11-22,USC00272174,61.0,0.0,152.0,64.0,,
1893-11-23,USC00272174,72.0,-33.0,0.0,0.0,,
1893-11-24,USC00272174,22.0,-44.0,0.0,0.0,,
1893-11-25,USC00272174,0.0,-67.0,0.0,0.0,,
1893-11-26,USC00272174,-33.0,-83.0,0.0,0.0,,
1893-11-27,USC00272174,11.0,-139.0,0.0,0.0,,
1893-11-28,USC00272174,128.0,-17.0,91.0,0.0,,
1893-11-29,USC00272174,83.0,28.0,0.0,0.0,,
1893-11-30,USC00272174,83.0,0.0,0.0,0.0,,
1895-09-01,USC00272174,194.0,61.0,0.0,0.0,,
1895-09-02,USC00272174,206.0,28.0,0.0,0.0,,
1895-09-03,USC00272174,250.0,28.0,0.0,0.0,,
1895-09-04,USC00272174,283.0,89.0,0.0,0.0,,
1895-09-05,USC00272174,278.0,111.0,0.0,0.0,,
1895-09-06,USC00272174,278.0,111.0,0.0,0.0,,
1895-09-07,USC00272174,239.0,117.0,0.0,0.0,,
1895-09-08,USC00272174,250.0,133.0,0.0,0.0,,
1895-09-09,USC00272174,261.0,50.0,71.0,0.0,,
1895-09-10,USC00272174,256.0,122.0,30.0,0.0,,
1895-09-11,USC00272174,256.0,139.0,13.0,0.0,,
1895-09-12,USC00272174,261.0,172.0,254.0,0.0,,
1895-09-13,USC00272174,161.0,94.0,0.0,0.0,,
1895-09-14,USC00272174,111.0,28.0,0.0,0.0,,
1895-09-15,USC00272174,150.0,-28.0,0.0,0.0,,
1895-09-16,USC00272174,161.0,0.0,0.0,0.0,,
1895-09-17,USC00272174,256.0,44.0,0.0,0.0,,
1895-09-18,USC00272174,122.0,44.0,43.0,0.0,,
1895-09-19,USC00272174,222.0,106.0,0.0,0.0,,
1895-09-20,USC00272174,283.0,89.0,0.0,0.0,,
1895-09-21,USC00272174,333.0,144.0,0.0,0.0,,
1895-09-22,USC00272174,322.0,89.0,0.0,0.0,,
1895-09-23,USC00272174,339.0,139.0,0.0,0.0,,
1895-09-24,USC00272174,194.0,94.0,0.0,0.0,,
1895-09-25,USC00272174,211.0,6.0,0.0,0.0,,
1895-09-26,USC00272174,272.0,117.0,79.0,0.0,,
1895-09-27,USC00272174,189.0,72.0,0.0,0.0,,
1895-09-28,USC00272174,167.0,6.0,0.0,0.0,,
1895-09-29,USC00272174,139.0,33.0,10.0,0.0,,
1895-09-30,USC00272174,133.0,67.0,211.0,0.0,,
1895-10-01,USC00272174,122.0,33.0,0.0,0.0,,
1895-10-02,USC00272174,189.0,-11.0,0.0,0.0,,
1895-10-03,USC00272174,178.0,-11.0,0.0,0.0,,
1895-10-04,USC00272174,172.0,22.0,0.0,0.0,,
1895-10-05,USC00272174,167.0,-17.0,0.0,0.0,,
1895-10-06,USC00272174,178.0,-17.0,0.0,0.0,,
1895-10-07,USC00272174,161.0,-22.0,0.0,0.0,,
1895-10-08,USC00272174,89.0,50.0,76.0,0.0,,
1895-10-09,USC00272174,67.0,0.0,0.0,0.0,,
1895-10-10,USC00272174,83.0,-33.0,0.0,0.0,,
1895-10-11,USC00272174,144.0,-61.0,0.0,0.0,,
1895-10-12,USC00272174,144.0,83.0,157.0,0.0,,
1895-10-13,USC00272174,144.0,122.0,358.0,0.0,,
1895-10-14,USC00272174,144.0,44.0,30.0,0.0,,
1895-10-15,USC00272174,83.0,-28.0,5.0,0.0,,
1895-10-16,USC00272174,83.0,6.0,0.0,0.0,,
1895-10-17,USC00272174,111.0,44.0,5.0,0.0,,
1895-10-18,USC00272174,100.0,-22.0,0.0,0.0,,
1895-10-19,USC00272174,189.0,-22.0,0.0,0.0,,
1895-10-20,USC00272174,72.0,-28.0,0.0,0.0,,
1895-10-21,USC00272174,67.0,-67.0,0.0,0.0,,
1895-10-22,USC00272174,122.0,-89.0,0.0,0.0,,
1895-10-23,USC00272174,111.0,11.0,0.0,0.0,,
1895-10-24,USC00272174,94.0,-61.0,0.0,0.0,,
1895-10-25,USC00272174,139.0,-56.0,0.0,0.0,,
1895-10-26,USC00272174,72.0,-44.0,0.0,0.0,,
1895-10-27,USC00272174,194.0,0.0,0.0,0.0,,
1895-10-28,USC00272174,189.0,33.0,66.0,0.0,,
1895-10-29,USC00272174,61.0,-11.0,0.0,0.0,,
1895-10-30,USC00272174,56.0,-39.0,0.0,0.0,,
1895-10-31,USC00272174,50.0,-83.0,76.0,0.0,,
1895-11-01,USC00272174,89.0,11.0,279.0,0.0,,
1895-11-02,USC00272174,28.0,-28.0,84.0,64.0,,
