DATE,ID,TMAX,TMIN,PRCP,SNOW,SNWD,WT18,WT04,WT09
1893-03-01,USC00272174,44.0,-50.0,0.0,0.0,,,,
1893-03-02,USC00272174,6.0,-78.0,0.0,0.0,,,,
1893-03-03,USC00272174,11.0,-183.0,0.0,0.0,,,,
1893-03-04,USC00272174,17.0,-78.0,5.0,5.0,,,,
1893-03-05,USC00272174,-44.0,-133.0,0.0,0.0,,,,
1893-03-06,USC00272174,11.0,-172.0,0.0,0.0,,,,
1893-03-07,USC00272174,67.0,-128.0,0.0,0.0,,,,
1893-03-08,USC00272174,83.0,-144.0,0.0,0.0,,,,
1893-03-09,USC00272174,67.0,-28.0,33.0,0.0,,,,
1893-03-10,USC00272174,67.0,-11.0,0.0,0.0,,,,
1893-03-11,USC00272174,28.0,-11.0,8.0,0.0,,,,
1893-03-12,USC00272174,83.0,11.0,175.0,0.0,,,,
1893-03-13,USC00272174,94.0,-17.0,0.0,0.0,,,,
1893-03-14,USC00272174,100.0,-61.0,10.0,0.0,,,,
1893-03-15,USC00272174,28.0,-89.0,246.0,51.0,,,,
1893-03-16,USC00272174,-28.0,-128.0,0.0,0.0,,,,
1893-03-17,USC00272174,28.0,-144.0,0.0,0.0,,,,
1893-03-18,USC00272174,-6.0,-133.0,0.0,0.0,,,,
1893-03-19,USC00272174,11.0,-172.0,0.0,0.0,,,,
1893-03-20,USC00272174,56.0,-144.0,0.0,0.0,,,,
1893-03-21,USC00272174,78.0,-33.0,18.0,0.0,,,,
1893-03-22,USC00272174,78.0,-17.0,0.0,0.0,,,,
1893-03-23,USC00272174,-11.0,-67.0,0.0,0.0,,,,
1893-03-24,USC00272174,72.0,-39.0,5.0,0.0,,,,
1893-03-25,USC00272174,83.0,28.0,0.0,0.0,,,,
1893-03-26,USC00272174,28.0,6.0,5.0,0.0,,,,
1893-03-27,USC00272174,61.0,-89.0,0.0,0.0,,,,
1893-03-28,USC00272174,11.0,-67.0,0.0,0.0,,,,
1893-03-29,USC00272174,67.0,-111.0,0.0,0.0,,,,
1893-03-30,USC00272174,61.0,-39.0,0.0,0.0,,,,
1893-03-31,USC00272174,72.0,-22.0,0.0,0.0,,,,
1893-04-01,USC00272174,167.0,-33.0,10.0,0.0,,,,
1893-04-02,USC00272174,56.0,-11.0,0.0,0.0,,,,
1893-04-03,USC00272174,78.0,-78.0,0.0,0.0,,,,
1893-04-04,USC00272174,128.0,17.0,66.0,0.0,,,,
1893-04-05,USC00272174,111.0,22.0,0.0,0.0,,,,
1893-04-06,USC00272174,44.0,-22.0,0.0,0.0,,,,
1893-04-07,USC00272174,0.0,-83.0,94.0,76.0,,,,
1893-04-08,USC00272174,89.0,-11.0,13.0,0.0,,,,
1893-04-09,USC00272174,117.0,44.0,0.0,0.0,,,,
1893-04-10,USC00272174,106.0,-28.0,0.0,0.0,,,,
1893-04-11,USC00272174,178.0,-39.0,0.0,0.0,,,,
1893-04-12,USC00272174,183.0,-39.0,0.0,0.0,,,,
1893-04-13,USC00272174,83.0,44.0,18.0,0.0,,,,
1893-04-14,USC00272174,156.0,33.0,76.0,0.0,,,,
1893-04-15,USC00272174,39.0,6.0,119.0,25.0,,,,
1893-04-16,USC00272174,89.0,-11.0,0.0,0.0,,,,
1893-04-17,USC00272174,78.0,-33.0,0.0,0.0,,,,
1893-04-18,USC00272174,100.0,-22.0,0.0,0.0,,,,
1893-04-19,USC00272174,128.0,-33.0,0.0,0.0,,,,
1893-04-20,USC00272174,78.0,-33.0,8.0,0.0,,,,
1893-04-21,USC00272174,139.0,6.0,89.0,13.0,,,,
1893-04-22,USC00272174,128.0,28.0,10.0,0.0,,,,
1893-04-23,USC00272174,139.0,0.0,0.0,0.0,,,,
1893-04-24,USC00272174,161.0,-11.0,0.0,0.0,,,,
1893-04-25,USC00272174,139.0,17.0,5.0,0.0,,,,
1893-04-26,USC00272174,161.0,-56.0,0.0,0.0,,,,
1893-04-27,USC00272174,67.0,0.0,51.0,0.0,,,,
1893-04-28,USC00272174,194.0,6.0,0.0,0.0,,,,
1893-04-29,USC00272174,183.0,44.0,0.0,0.0,,,,
1893-04-30,USC00272174,200.0,50.0,0.0,0.0,,,,
1893-05-01,USC00272174,94.0,67.0,196.0,,,,,
1893-05-02,USC00272174,144.0,39.0,0.0,,,,,
1893-05-03,USC00272174,89.0,56.0,25.0,,,,,
