DATE,ID,TMAX,TMIN,PRCP,SNOW,1.0,SNWD
1893-06-01,USC00272174,233.0,89.0,0.0,,,
1893-06-02,USC00272174,256.0,78.0,0.0,,,
1893-06-03,USC00272174,256.0,161.0,0.0,,,
1893-06-04,USC00272174,239.0,172.0,43.0,,,
1893-06-05,USC00272174,311.0,172.0,0.0,,,
1893-06-06,USC00272174,317.0,144.0,20.0,,,
1893-06-07,USC00272174,217.0,172.0,0.0,,,
1893-06-08,USC00272174,261.0,61.0,0.0,,,
1893-06-09,USC00272174,267.0,89.0,0.0,,,
1893-06-10,USC00272174,294.0,83.0,0.0,,,
1893-06-11,USC00272174,311.0,144.0,137.0,,,
1893-06-12,USC00272174,228.0,139.0,53.0,,,
1893-06-13,USC00272174,233.0,156.0,0.0,,,
1893-06-14,USC00272174,283.0,150.0,0.0,,,
1893-06-15,USC00272174,272.0,206.0,0.0,,,
1893-06-16,USC00272174,222.0,156.0,0.0,,,
1893-06-17,USC00272174,156.0,100.0,5.0,,,
1893-06-18,USC00272174,294.0,122.0,0.0,,,
1893-06-19,USC00272174,300.0,111.0,0.0,,,
1893-06-20,USC00272174,328.0,144.0,0.0,,,
1893-06-21,USC00272174,322.0,156.0,150.0,,,
1893-06-22,USC00272174,172.0,122.0,295.0,,,
1893-06-23,USC00272174,150.0,111.0,56.0,,,
1893-06-24,USC00272174,228.0,106.0,0.0,,,
1893-06-25,USC00272174,233.0,94.0,46.0,,,
1893-06-26,USC00272174,161.0,117.0,10.0,,,
1893-06-27,USC00272174,178.0,72.0,0.0,,,
1893-06-28,USC00272174,217.0,72.0,0.0,,,
1893-06-29,USC00272174,244.0,78.0,0.0,,,
1893-06-30,USC00272174,267.0,100.0,0.0,,,
1893-07-01,USC00272174,278.0,111.0,15.0,,,
1893-07-02,USC00272174,283.0,111.0,0.0,,,
1893-07-03,USC00272174,261.0,117.0,0.0,,,
1893-07-04,USC00272174,250.0,128.0,0.0,,,
1893-07-05,USC00272174,244.0,89.0,23.0,,,
1893-07-06,USC00272174,256.0,128.0,0.0,,,
1893-07-07,USC00272174,267.0,72.0,0.0,,,
1893-07-08,USC00272174,289.0,111.0,127.0,,,
1893-07-09,USC00272174,222.0,178.0,0.0,,,
1893-07-10,USC00272174,228.0,67.0,0.0,,,
1893-07-11,USC00272174,256.0,56.0,0.0,,,
1893-07-12,USC00272174,261.0,106.0,38.0,,,
1893-07-13,USC00272174,256.0,144.0,0.0,,,
1893-07-14,USC00272174,250.0,89.0,0.0,,,
1893-07-15,USC00272174,267.0,117.0,0.0,,,
1893-07-16,USC00272174,311.0,178.0,0.0,,,
1893-07-17,USC00272174,278.0,139.0,0.0,,,
1893-07-18,USC00272174,294.0,133.0,0.0,,,
1893-07-19,USC00272174,267.0,139.0,0.0,,,
1893-07-20,USC00272174,267.0,72.0,0.0,,,
1893-07-21,USC00272174,311.0,133.0,0.0,,,
1893-07-22,USC00272174,311.0,156.0,76.0,,,
1893-07-23,USC00272174,189.0,100.0,71.0,,,
1893-07-24,USC00272174,194.0,61.0,0.0,,,
1893-07-25,USC00272174,211.0,50.0,64.0,,,
1893-07-26,USC00272174,272.0,128.0,86.0,,,
1893-07-27,USC00272174,206.0,156.0,0.0,,,
1893-07-28,USC00272174,256.0,61.0,0.0,,,
1893-07-29,USC00272174,239.0,150.0,23.0,,,
1893-07-30,USC00272174,267.0,100.0,0.0,,,
1893-07-31,USC00272174,289.0,100.0,0.0,,,
1893-08-01,USC00272174,256.0,167.0,99.0,,,
1893-08-02,USC00272174,233.0,106.0,0.0,,,
1893-08-03,USC00272174,278.0,72.0,0.0,,,
1893-08-04,USC00272174,267.0,100.0,0.0,,,
1893-08-05,USC00272174,250.0,128.0,0.0,,,
1893-08-06,USC00272174,244.0,139.0,71.0,,,
1893-08-07,USC00272174,222.0,139.0,427.0,,,
1893-08-08,USC00272174,278.0,111.0,0.0,,,
1893-08-09,USC00272174,306.0,117.0,0.0,,,
1893-08-10,USC00272174,328.0,139.0,0.0,,,
1893-08-11,USC00272174,317.0,128.0,0.0,,,
1893-08-12,USC00272174,294.0,144.0,231.0,,,
1893-08-13,USC00272174,211.0,133.0,0.0,,,
1893-08-14,USC00272174,228.0,33.0,0.0,,,
1893-08-15,USC00272174,256.0,67.0,0.0,,,
1893-08-16,USC00272174,250.0,117.0,0.0,,,
1893-08-17,USC00272174,206.0,133.0,137.0,,,
1893-08-18,USC00272174,206.0,144.0,0.0,,,
1893-08-19,USC00272174,228.0,133.0,102.0,,,
1893-08-20,USC00272174,206.0,139.0,69.0,,,
1893-08-21,USC00272174,189.0,144.0,28.0,,,
1893-08-22,USC00272174,256.0,100.0,0.0,,,
1893-08-23,USC00272174,272.0,94.0,0.0,,,
1893-08-24,USC00272174,228.0,183.0,94.0,,,
1893-08-25,USC00272174,311.0,172.0,18.0,,,
1893-08-26,USC00272174,294.0,178.0,0.0,,,
1893-08-27,USC00272174,278.0,161.0,800.0,,,
1893-08-28,USC00272174,289.0,150.0,0.0,,,
1893-08-29,USC00272174,244.0,183.0,201.0,,,
1893-08-30,USC00272174,206.0,122.0,0.0,,,
1893-08-31,USC00272174,233.0,89.0,0.0,,,
1895-07-01,USC00272174,222.0,161.0,0.0,,,
1895-07-02,USC00272174,233.0,61.0,0.0,,,
1895-07-03,USC00272174,256.0,50.0,0.0,,,
1895-07-04,USC00272174,239.0,111.0,0.0,,,
1895-07-05,USC00272174,239.0,150.0,10.0,,,
1895-07-06,USC00272174,244.0,167.0,23.0,,,
1895-07-07,USC00272174,256.0,156.0,0.0,,,
1895-07-08,USC00272174,300.0,189.0,0.0,,,
1895-07-09,USC00272174,283.0,206.0,18.0,,,
1895-07-10,USC00272174,217.0,117.0,0.0,,,
1895-07-11,USC00272174,228.0,61.0,0.0,,,
1895-07-12,USC00272174,256.0,61.0,0.0,,,
1895-07-13,USC00272174,183.0,139.0,71.0,,,
1895-07-14,USC00272174,217.0,83.0,0.0,,,
1895-07-15,USC00272174,233.0,117.0,0.0,,,
1895-07-16,USC00272174,183.0,139.0,23.0,,,
1895-07-17,USC00272174,267.0,144.0,0.0,,,
1895-07-18,USC00272174,250.0,150.0,0.0,,,
1895-07-19,USC00272174,267.0,83.0,0.0,,,
1895-07-20,USC00272174,267.0,144.0,0.0,,,
1895-07-21,USC00272174,317.0,172.0,572.0,,,
1895-07-22,USC00272174,289.0,178.0,0.0,,,
1895-07-23,USC00272174,250.0,172.0,0.0,,,
1895-07-24,USC00272174,261.0,72.0,0.0,,,
1895-07-25,USC00272174,272.0,106.0,5.0,,,
1895-07-26,USC00272174,239.0,100.0,0.0,,,
1895-07-27,USC00272174,233.0,61.0,282.0,,,
1895-07-28,USC00272174,222.0,150.0,0.0,,,
1895-07-29,USC00272174,250.0,67.0,0.0,,,
1895-07-30,USC00272174,217.0,122.0,170.0,,,
1895-07-31,USC00272174,194.0,67.0,0.0,,,
1895-08-01,USC00272174,178.0,122.0,0.0,,,
1895-08-02,USC00272174,222.0,100.0,0.0,,,
1895-08-03,USC00272174,228.0,61.0,0.0,,,
1895-08-04,USC00272174,250.0,161.0,132.0,,,
1895-08-05,USC00272174,278.0,172.0,0.0,,,
1895-08-06,USC00272174,294.0,111.0,0.0,,,
1895-08-07,USC00272174,261.0,183.0,102.0,,,
1895-08-08,USC00272174,261.0,111.0,0.0,,,
1895-08-09,USC00272174,267.0,111.0,0.0,,,
1895-08-10,USC00272174,278.0,117.0,0.0,,,
1895-08-11,USC00272174,294.0,94.0,0.0,,,
1895-08-12,USC00272174,250.0,156.0,107.0,,,
1895-08-13,USC00272174,272.0,156.0,191.0,,,
1895-08-14,USC00272174,261.0,106.0,0.0,,,
1895-08-15,USC00272174,272.0,111.0,0.0,,,
1895-08-16,USC00272174,272.0,122.0,0.0,,,
1895-08-17,USC00272174,261.0,139.0,0.0,,,
1895-08-18,USC00272174,256.0,178.0,406.0,,,
1895-08-19,USC00272174,239.0,122.0,0.0,,,
1895-08-20,USC00272174,217.0,56.0,0.0,,,
1895-08-21,USC00272174,194.0,56.0,0.0,,,
1895-08-22,USC00272174,206.0,17.0,0.0,,,
1895-08-23,USC00272174,267.0,100.0,0.0,,,
1895-08-24,USC00272174,306.0,172.0,0.0,,,
1895-08-25,USC00272174,244.0,133.0,8.0,,,
1895-08-26,USC00272174,272.0,72.0,0.0,,,
1895-08-27,USC00272174,278.0,111.0,0.0,,,
1895-08-28,USC00272174,278.0,156.0,0.0,,,
1895-08-29,USC00272174,278.0,167.0,13.0,,,
1895-08-30,USC00272174,250.0,94.0,0.0,,,
1895-08-31,USC00272174,183.0,117.0,36.0,,,
1896-06-01,USC00272174,194.0,89.0,10.0,,,
1896-06-02,USC00272174,183.0,33.0,0.0,,,
1896-06-03,USC00272174,256.0,17.0,0.0,,,
1896-06-04,USC00272174,278.0,67.0,0.0,,,
1896-06-05,USC00272174,294.0,78.0,0.0,,,
1896-06-06,USC00272174,233.0,106.0,0.0,,,
1896-06-07,USC00272174,139.0,117.0,64.0,,,
1896-06-08,USC00272174,144.0,117.0,117.0,,,
1896-06-09,USC00272174,256.0,111.0,0.0,,,
1896-06-10,USC00272174,222.0,133.0,127.0,,,
1896-06-11,USC00272174,200.0,22.0,0.0,,,
1896-06-12,USC00272174,194.0,94.0,0.0,,,
1896-06-13,USC00272174,228.0,39.0,0.0,,,
1896-06-14,USC00272174,156.0,100.0,28.0,,,
1896-06-15,USC00272174,167.0,94.0,0.0,,,
1896-06-16,USC00272174,256.0,78.0,0.0,,,
1896-06-17,USC00272174,222.0,117.0,13.0,,,
1896-06-18,USC00272174,272.0,156.0,0.0,,,
1896-06-19,USC00272174,294.0,106.0,0.0,,,
1896-06-20,USC00272174,311.0,133.0,0.0,,,
1896-06-21,USC00272174,311.0,150.0,13.0,,,
1896-06-22,USC00272174,289.0,161.0,0.0,,,
1896-06-23,USC00272174,222.0,100.0,0.0,,,
1896-06-24,USC00272174,233.0,56.0,0.0,,,
1896-06-25,USC00272174,228.0,56.0,0.0,,,
1896-06-26,USC00272174,278.0,133.0,0.0,,,
1896-06-27,USC00272174,272.0,100.0,0.0,,,
1896-06-28,USC00272174,256.0,106.0,0.0,,,
1896-06-29,USC00272174,267.0,122.0,0.0,,,
1896-06-30,USC00272174,239.0,72.0,0.0,,,
