DATE,ID,TMAX,TMIN,PRCP,SNOW,WT18,SNWD,WT04,WT09
1893-01-01,USC00272174,44.0,-128.0,229.0,25.0,,,,
1893-01-02,USC00272174,72.0,44.0,0.0,0.0,,,,
1893-01-03,USC00272174,-22.0,-56.0,0.0,0.0,,,,
1893-01-04,USC00272174,-72.0,-194.0,0.0,0.0,,,,
1893-01-05,USC00272174,-67.0,-122.0,0.0,0.0,,,,
1893-01-06,USC00272174,-78.0,-111.0,25.0,25.0,,,,
1893-01-07,USC00272174,-44.0,-144.0,0.0,0.0,,,,
1893-01-08,USC00272174,-72.0,-161.0,0.0,0.0,,,,
1893-01-09,USC00272174,-56.0,-178.0,127.0,127.0,,,,
1893-01-10,USC00272174,-56.0,-111.0,0.0,0.0,,,,
1893-01-11,USC00272174,-111.0,-217.0,0.0,0.0,,,,
1893-01-12,USC00272174,-100.0,-244.0,0.0,0.0,,,,
1893-01-13,USC00272174,-111.0,-167.0,0.0,0.0,,,,
1893-01-14,USC00272174,-61.0,-222.0,0.0,0.0,,,,
1893-01-15,USC00272174,-67.0,-161.0,0.0,0.0,,,,
1893-01-16,USC00272174,-61.0,-222.0,0.0,0.0,,,,
1893-01-17,USC00272174,-89.0,-244.0,0.0,0.0,,,,
1893-01-18,USC00272174,-72.0,-250.0,0.0,0.0,,,,
1893-01-19,USC00272174,-39.0,-189.0,13.0,13.0,,,,
1893-01-20,USC00272174,-61.0,-228.0,0.0,0.0,,,,
1893-01-21,USC00272174,-83.0,-194.0,0.0,0.0,,,,
1893-01-22,USC00272174,-39.0,-233.0,0.0,0.0,,,,
1893-01-23,USC00272174,-28.0,-211.0,13.0,13.0,,,,
1893-01-24,USC00272174,22.0,-61.0,0.0,0.0,,,,
1893-01-25,USC00272174,39.0,-83.0,76.0,76.0,,,,
1893-01-26,USC00272174,44.0,-139.0,0.0,0.0,,,,
1893-01-27,USC00272174,6.0,-78.0,0.0,0.0,,,,
1893-01-28,USC00272174,-56.0,-133.0,0.0,0.0,,,,
1893-01-29,USC00272174,17.0,-72.0,20.0,0.0,,,,
1893-01-30,USC00272174,22.0,-100.0,0.0,0.0,,,,
1893-01-31,USC00272174,11.0,-61.0,25.0,25.0,,,,
1893-02-01,USC00272174,-33.0,-94.0,18.0,13.0,,,,
1893-02-02,USC00272174,6.0,-78.0,0.0,,,,,
1893-02-03,USC00272174,-17.0,-78.0,76.0,13.0,,,,
1893-02-04,USC00272174,-106.0,-172.0,0.0,,,,,
1893-02-05,USC00272174,-100.0,-217.0,0.0,,,,,
1893-02-06,USC00272174,33.0,-222.0,201.0,64.0,,,,
1893-02-07,USC00272174,61.0,-83.0,0.0,,,,,
1893-02-08,USC00272174,-61.0,-183.0,0.0,,,,,
1893-02-09,USC00272174,-6.0,-194.0,0.0,,,,,
1893-02-10,USC00272174,83.0,-50.0,345.0,76.0,,,,
1893-02-11,USC00272174,39.0,-6.0,0.0,,,,,
1893-02-12,USC00272174,22.0,-100.0,0.0,,,,,
1893-02-13,USC00272174,0.0,-50.0,300.0,305.0,,,,
1893-02-14,USC00272174,78.0,-28.0,0.0,,,,,
1893-02-15,USC00272174,111.0,17.0,0.0,,,,,
1893-02-16,USC00272174,33.0,-72.0,0.0,,,,,
1893-02-17,USC00272174,-78.0,-189.0,0.0,,,,,
1893-02-18,USC00272174,-17.0,-117.0,127.0,152.0,,,,
1893-02-19,USC00272174,-11.0,-194.0,0.0,,,,,
1893-02-20,USC00272174,-117.0,-172.0,305.0,305.0,,,,
1893-02-21,USC00272174,-33.0,-194.0,0.0,,,,,
1893-02-22,USC00272174,-39.0,-100.0,229.0,229.0,,,,
1893-02-23,USC00272174,56.0,-117.0,0.0,,,,,
1893-02-24,USC00272174,-6.0,-128.0,76.0,76.0,,,,
1893-02-25,USC00272174,22.0,-233.0,5.0,8.0,,,,
1893-02-26,USC00272174,22.0,-111.0,0.0,,,,,
1893-02-27,USC00272174,-6.0,-122.0,0.0,,,,,
1893-02-28,USC00272174,17.0,-172.0,102.0,102.0,,,,
1893-12-01,USC00272174,39.0,-50.0,51.0,51.0,,,,
1893-12-02,USC00272174,-22.0,-89.0,0.0,0.0,,,,
1893-12-03,USC00272174,0.0,-111.0,419.0,152.0,,,,
1893-12-04,USC00272174,-56.0,-67.0,0.0,0.0,,,,
1893-12-05,USC00272174,-72.0,-178.0,61.0,76.0,,,,
1893-12-06,USC00272174,-11.0,-183.0,0.0,0.0,,,,
1893-12-07,USC00272174,17.0,-122.0,0.0,0.0,,,,
1893-12-08,USC00272174,-28.0,-172.0,0.0,0.0,,,,
1893-12-09,USC00272174,-17.0,-144.0,13.0,13.0,,,,
1893-12-10,USC00272174,44.0,-17.0,0.0,0.0,,,,
1893-12-11,USC00272174,-72.0,-150.0,0.0,0.0,,,,
1893-12-12,USC00272174,-11.0,-150.0,51.0,89.0,,,,
1893-12-13,USC00272174,-83.0,-244.0,0.0,0.0,,,,
1893-12-14,USC00272174,-133.0,-294.0,0.0,0.0,,,,
1893-12-15,USC00272174,-44.0,-128.0,64.0,51.0,,,,
1893-12-16,USC00272174,6.0,-61.0,175.0,0.0,,,,
1893-12-17,USC00272174,22.0,-89.0,0.0,0.0,,,,
1893-12-18,USC00272174,-44.0,-194.0,18.0,0.0,,,,
1893-12-19,USC00272174,39.0,-122.0,0.0,51.0,,,,
1893-12-20,USC00272174,-56.0,-117.0,0.0,0.0,,,,
1893-12-21,USC00272174,28.0,-156.0,0.0,0.0,,,,
1893-12-22,USC00272174,28.0,-44.0,0.0,0.0,,,,
1893-12-23,USC00272174,72.0,-17.0,25.0,0.0,,,,
1893-12-24,USC00272174,67.0,-56.0,0.0,0.0,,,,
1893-12-25,USC00272174,94.0,22.0,0.0,0.0,,,,
1893-12-26,USC00272174,-56.0,-78.0,0.0,0.0,,,,
1893-12-27,USC00272174,-33.0,-150.0,0.0,0.0,,,,
1893-12-28,USC00272174,22.0,-89.0,0.0,0.0,,,,
1893-12-29,USC00272174,39.0,6.0,13.0,0.0,,,,
1893-12-30,USC00272174,-56.0,-67.0,0.0,0.0,,,,
1893-12-31,USC00272174,-6.0,-78.0,30.0,51.0,,,,
1894-01-01,USC00272174,-11.0,-150.0,0.0,0.0,,,,
1894-01-02,USC00272174,17.0,-178.0,0.0,0.0,,,,
1894-01-03,USC00272174,17.0,-111.0,0.0,0.0,,,,
1894-01-04,USC00272174,50.0,-67.0,0.0,0.0,,,,
1894-01-05,USC00272174,28.0,-17.0,48.0,0.0,,,,
1894-01-06,USC00272174,22.0,-33.0,13.0,13.0,,,,
1894-01-07,USC00272174,39.0,-44.0,0.0,0.0,,,,
1894-01-08,USC00272174,-17.0,-94.0,0.0,0.0,,,,
1894-01-09,USC00272174,-39.0,-122.0,0.0,0.0,,,,
1894-01-10,USC00272174,-56.0,-139.0,23.0,38.0,,,,
1894-01-11,USC00272174,-17.0,-89.0,13.0,13.0,,,,
1894-01-12,USC00272174,6.0,-161.0,0.0,0.0,,,,
1894-01-13,USC00272174,-78.0,-189.0,0.0,0.0,,,,
1894-01-14,USC00272174,-17.0,-161.0,0.0,0.0,,,,
1894-01-15,USC00272174,11.0,-133.0,36.0,0.0,,,,
1894-01-16,USC00272174,56.0,0.0,0.0,0.0,,,,
1894-01-17,USC00272174,22.0,-100.0,0.0,0.0,,,,
1894-01-18,USC00272174,0.0,-150.0,30.0,13.0,,,,
1894-01-19,USC00272174,28.0,-67.0,0.0,0.0,,,,
1894-01-20,USC00272174,17.0,-161.0,0.0,0.0,,,,
1894-01-21,USC00272174,11.0,-111.0,0.0,0.0,,,,
1894-01-22,USC00272174,67.0,-44.0,5.0,8.0,,,,
1894-01-23,USC00272174,22.0,-83.0,0.0,0.0,,,,
1894-01-24,USC00272174,83.0,-22.0,51.0,0.0,,,,
