ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31,Season
USC00272174,1901,1,SNWD,,,,,,,,,,51.0,76.0,178.0,178.0,178.0,178.0,203.0,152.0,152.0,152.0,152.0,152.0,102.0,102.0,76.0,76.0,51.0,51.0,51.0,51.0,51.0,102.0,Winter
USC00272174,1901,2,SNWD,127.0,127.0,127.0,229.0,305.0,305.0,279.0,254.0,229.0,203.0,203.0,203.0,203.0,178.0,152.0,127.0,102.0,76.0,76.0,76.0,76.0,76.0,76.0,127.0,102.0,51.0,51.0,51.0,,,,Winter
USC00272174,1901,3,SNWD,25.0,51.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,,,,,,,,,,,,,,Spring
USC00272174,1901,12,SNWD,,,,432.0,406.0,406.0,406.0,381.0,356.0,203.0,203.0,102.0,102.0,76.0,0.0,,,,,,,,,,51.0,,127.0,102.0,51.0,0.0,,Winter
USC00272174,1902,1,SNWD,,,,,,,51.0,51.0,0.0,51.0,51.0,356.0,305.0,254.0,254.0,229.0,229.0,229.0,178.0,152.0,127.0,0.0,,,,,,,,,,Winter
USC00272174,1902,2,SNWD,,,,,,,,,,,,,,,,,254.0,254.0,254.0,229.0,152.0,152.0,127.0,76.0,51.0,25.0,0.0,0.0,,,,Winter
USC00272174,1902,3,SNWD,0.0,0.0,0.0,0.0,,127.0,76.0,25.0,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,Spring
USC00272174,1902,12,SNWD,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USC00272174,1905,2,SNWD,,,,,,203.0,,,330.0,,,356.0,,,,,,,,,,,,,,,,,,,,Winter
USC00272174,1905,3,SNWD,,,,,,,,,,,,,,,,,,,,,229.0,,,,,,,,,,,Spring
