ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31,Season
USC00272174,1893,1,TMAX,22.0,94.0,94.0,-6.0,-17.0,-56.0,-72.0,-44.0,-33.0,-28.0,-111.0,-106.0,-89.0,-67.0,-89.0,-89.0,-94.0,-94.0,-33.0,-83.0,-50.0,-44.0,-44.0,-56.0,11.0,11.0,0.0,-61.0,11.0,6.0,0.0,Winter
USC00272174,1893,2,TMAX,-22.0,0.0,-33.0,-128.0,-78.0,-17.0,83.0,-44.0,-17.0,94.0,22.0,61.0,0.0,78.0,111.0,50.0,-44.0,-61.0,-33.0,0.0,-56.0,-39.0,0.0,-11.0,17.0,-11.0,-6.0,17.0,,,,Winter
USC00272174,1893,3,TMAX,28.0,-6.0,11.0,0.0,-67.0,-22.0,72.0,72.0,28.0,44.0,33.0,83.0,128.0,89.0,39.0,-44.0,22.0,22.0,17.0,22.0,72.0,33.0,-6.0,83.0,106.0,61.0,89.0,11.0,61.0,78.0,78.0,Spring
USC00272174,1893,4,TMAX,172.0,33.0,61.0,78.0,78.0,94.0,28.0,106.0,128.0,94.0,133.0,156.0,83.0,133.0,150.0,72.0,94.0,56.0,94.0,83.0,67.0,100.0,122.0,150.0,106.0,133.0,128.0,172.0,194.0,178.0,,Spring
USC00272174,1893,5,TMAX,106.0,78.0,89.0,78.0,133.0,156.0,133.0,172.0,144.0,278.0,272.0,244.0,122.0,194.0,211.0,139.0,139.0,150.0,78.0,283.0,233.0,267.0,317.0,200.0,239.0,228.0,122.0,194.0,189.0,200.0,189.0,Spring
USC00272174,1893,6,TMAX,217.0,233.0,183.0,250.0,333.0,322.0,233.0,239.0,244.0,250.0,283.0,278.0,206.0,261.0,317.0,189.0,139.0,261.0,283.0,322.0,322.0,178.0,172.0,167.0,183.0,189.0,194.0,206.0,261.0,261.0,,Summer
USC00272174,1893,7,TMAX,300.0,306.0,267.0,267.0,278.0,256.0,283.0,283.0,317.0,244.0,283.0,272.0,239.0,261.0,283.0,300.0,322.0,322.0,300.0,283.0,278.0,317.0,267.0,217.0,244.0,300.0,211.0,272.0,233.0,300.0,300.0,Summer
USC00272174,1893,8,TMAX,289.0,283.0,283.0,267.0,211.0,294.0,250.0,294.0,311.0,344.0,306.0,306.0,239.0,250.0,250.0,228.0,306.0,189.0,200.0,200.0,189.0,283.0,267.0,217.0,328.0,311.0,250.0,289.0,239.0,233.0,233.0,Summer
USC00272174,1893,9,TMAX,233.0,183.0,194.0,228.0,244.0,189.0,150.0,189.0,200.0,239.0,189.0,200.0,239.0,239.0,239.0,222.0,167.0,189.0,244.0,211.0,183.0,156.0,211.0,206.0,150.0,167.0,128.0,139.0,94.0,161.0,,Fall
USC00272174,1893,10,TMAX,150.0,189.0,178.0,178.0,211.0,200.0,200.0,211.0,244.0,144.0,211.0,217.0,222.0,167.0,144.0,89.0,178.0,133.0,111.0,139.0,189.0,183.0,194.0,167.0,172.0,161.0,133.0,144.0,100.0,67.0,67.0,Fall
USC00272174,1893,11,TMAX,122.0,133.0,144.0,72.0,78.0,133.0,83.0,83.0,117.0,117.0,89.0,56.0,100.0,117.0,117.0,6.0,100.0,128.0,33.0,72.0,61.0,100.0,67.0,33.0,-11.0,-44.0,22.0,117.0,78.0,94.0,,Fall
USC00272174,1893,12,TMAX,28.0,-28.0,-33.0,-39.0,-44.0,6.0,-6.0,-11.0,11.0,61.0,-67.0,-89.0,-106.0,-106.0,-67.0,0.0,11.0,-39.0,-22.0,-56.0,-22.0,6.0,67.0,61.0,78.0,-39.0,-6.0,22.0,44.0,44.0,-17.0,Winter
USC00272174,1894,1,TMAX,-17.0,22.0,11.0,56.0,22.0,11.0,22.0,44.0,-33.0,-50.0,-33.0,-67.0,-83.0,17.0,33.0,39.0,-56.0,17.0,28.0,6.0,11.0,61.0,28.0,78.0,111.0,-72.0,-44.0,-17.0,0.0,-6.0,0.0,Winter
USC00272174,1894,2,TMAX,0.0,-11.0,6.0,6.0,-33.0,-17.0,33.0,83.0,22.0,0.0,0.0,-6.0,-78.0,-44.0,-28.0,-28.0,-33.0,83.0,67.0,22.0,0.0,11.0,-28.0,-106.0,-78.0,-39.0,17.0,33.0,,,,Winter
USC00272174,1894,3,TMAX,72.0,89.0,122.0,161.0,189.0,200.0,89.0,183.0,89.0,111.0,133.0,83.0,100.0,33.0,72.0,122.0,89.0,122.0,244.0,128.0,72.0,117.0,111.0,67.0,61.0,6.0,-6.0,28.0,61.0,56.0,100.0,Spring
USC00272174,1895,7,TMAX,250.0,261.0,289.0,244.0,250.0,244.0,300.0,328.0,283.0,239.0,250.0,267.0,233.0,289.0,233.0,256.0,200.0,244.0,267.0,267.0,317.0,317.0,267.0,289.0,289.0,233.0,244.0,239.0,256.0,267.0,233.0,Summer
USC00272174,1895,8,TMAX,233.0,239.0,250.0,256.0,289.0,267.0,233.0,278.0,278.0,278.0,289.0,200.0,272.0,278.0,283.0,272.0,217.0,244.0,222.0,233.0,233.0,233.0,289.0,322.0,283.0,278.0,283.0,289.0,217.0,244.0,244.0,Summer
USC00272174,1895,9,TMAX,233.0,256.0,272.0,311.0,294.0,272.0,233.0,261.0,289.0,256.0,272.0,278.0,267.0,150.0,172.0,178.0,261.0,200.0,222.0,261.0,350.0,333.0,350.0,267.0,233.0,294.0,233.0,167.0,217.0,222.0,,Fall
USC00272174,1895,10,TMAX,139.0,206.0,217.0,183.0,178.0,200.0,211.0,156.0,122.0,100.0,144.0,183.0,156.0,194.0,117.0,78.0,139.0,117.0,194.0,89.0,67.0,144.0,128.0,94.0,144.0,78.0,206.0,222.0,89.0,61.0,67.0,Fall
USC00272174,1895,11,TMAX,117.0,56.0,67.0,111.0,167.0,206.0,211.0,222.0,150.0,94.0,44.0,61.0,72.0,72.0,83.0,100.0,56.0,111.0,122.0,122.0,94.0,-28.0,0.0,22.0,28.0,172.0,61.0,94.0,106.0,83.0,,Fall
USC00272174,1895,12,TMAX,22.0,139.0,0.0,-11.0,-28.0,-28.0,-11.0,39.0,-17.0,39.0,-28.0,-83.0,-33.0,6.0,61.0,83.0,6.0,89.0,144.0,194.0,117.0,217.0,89.0,50.0,56.0,89.0,78.0,67.0,50.0,89.0,161.0,Winter
USC00272174,1896,1,TMAX,11.0,28.0,67.0,6.0,-122.0,-172.0,-111.0,-56.0,-67.0,-28.0,-11.0,-11.0,-11.0,-17.0,-28.0,-17.0,17.0,11.0,-17.0,-39.0,0.0,11.0,11.0,6.0,6.0,6.0,17.0,-28.0,6.0,33.0,6.0,Winter
USC00272174,1896,2,TMAX,28.0,111.0,-28.0,-28.0,-6.0,56.0,72.0,50.0,-28.0,56.0,33.0,0.0,-22.0,0.0,17.0,-28.0,-156.0,-67.0,-39.0,-28.0,6.0,-11.0,72.0,72.0,6.0,-61.0,22.0,106.0,78.0,,,Winter
USC00272174,1896,3,TMAX,83.0,61.0,6.0,22.0,28.0,50.0,6.0,61.0,0.0,11.0,-28.0,39.0,33.0,-28.0,-17.0,-22.0,50.0,72.0,94.0,83.0,44.0,106.0,-28.0,0.0,72.0,172.0,6.0,61.0,11.0,44.0,133.0,Spring
USC00272174,1896,4,TMAX,106.0,28.0,6.0,83.0,67.0,50.0,39.0,67.0,111.0,122.0,133.0,144.0,289.0,61.0,256.0,228.0,128.0,228.0,172.0,233.0,89.0,72.0,178.0,122.0,100.0,100.0,100.0,117.0,139.0,128.0,,Spring
USC00272174,1896,5,TMAX,228.0,172.0,228.0,256.0,144.0,89.0,144.0,217.0,306.0,339.0,183.0,233.0,167.0,233.0,228.0,283.0,283.0,272.0,267.0,217.0,139.0,283.0,222.0,139.0,144.0,150.0,261.0,228.0,206.0,244.0,189.0,Spring
USC00272174,1896,6,TMAX,239.0,217.0,294.0,294.0,261.0,183.0,133.0,128.0,239.0,211.0,250.0,228.0,233.0,172.0,156.0,256.0,256.0,283.0,344.0,333.0,328.0,300.0,228.0,233.0,233.0,289.0,289.0,278.0,278.0,244.0,,Summer
USC00272174,1896,7,TMAX,311.0,339.0,261.0,156.0,228.0,172.0,189.0,261.0,306.0,322.0,317.0,333.0,333.0,283.0,283.0,250.0,250.0,261.0,233.0,256.0,311.0,311.0,256.0,239.0,250.0,294.0,261.0,317.0,278.0,278.0,239.0,Summer
USC00272174,1896,8,TMAX,256.0,211.0,283.0,322.0,250.0,189.0,261.0,306.0,339.0,350.0,350.0,378.0,306.0,217.0,228.0,256.0,244.0,250.0,211.0,239.0,244.0,244.0,200.0,267.0,250.0,233.0,206.0,228.0,200.0,244.0,200.0,Summer
USC00272174,1896,9,TMAX,189.0,206.0,250.0,189.0,167.0,206.0,222.0,211.0,194.0,183.0,317.0,289.0,156.0,172.0,233.0,189.0,172.0,217.0,183.0,172.0,194.0,144.0,128.0,133.0,161.0,250.0,244.0,161.0,167.0,272.0,,Fall
USC00272174,1896,10,TMAX,200.0,128.0,150.0,117.0,94.0,100.0,94.0,111.0,122.0,117.0,106.0,128.0,94.0,117.0,122.0,183.0,139.0,133.0,139.0,128.0,156.0,106.0,111.0,139.0,78.0,133.0,167.0,111.0,100.0,156.0,211.0,Fall
USC00272174,1896,11,TMAX,178.0,183.0,128.0,111.0,161.0,122.0,144.0,67.0,89.0,100.0,144.0,83.0,67.0,28.0,106.0,117.0,222.0,50.0,156.0,44.0,0.0,100.0,17.0,139.0,72.0,6.0,211.0,200.0,56.0,6.0,,Fall
USC00272174,1896,12,TMAX,-6.0,-28.0,-72.0,11.0,61.0,117.0,89.0,61.0,61.0,67.0,28.0,78.0,78.0,56.0,-28.0,50.0,33.0,33.0,83.0,-39.0,-28.0,-67.0,-17.0,-11.0,-61.0,-6.0,-61.0,0.0,56.0,61.0,56.0,Winter
USC00272174,1897,1,TMAX,6.0,61.0,122.0,122.0,128.0,28.0,61.0,0.0,-17.0,44.0,28.0,-28.0,-39.0,-44.0,-11.0,50.0,33.0,94.0,-117.0,-67.0,94.0,28.0,-11.0,-67.0,-122.0,39.0,-6.0,-28.0,50.0,0.0,22.0,Winter
USC00272174,1897,2,TMAX,17.0,17.0,0.0,-6.0,28.0,33.0,61.0,61.0,28.0,0.0,-39.0,-72.0,-28.0,39.0,28.0,17.0,33.0,67.0,11.0,17.0,89.0,0.0,17.0,17.0,50.0,-22.0,-28.0,-28.0,,,,Winter
USC00272174,1897,3,TMAX,-28.0,83.0,72.0,72.0,6.0,83.0,-28.0,11.0,44.0,94.0,106.0,50.0,11.0,50.0,78.0,0.0,11.0,44.0,78.0,17.0,94.0,94.0,133.0,11.0,56.0,50.0,56.0,67.0,89.0,106.0,111.0,Spring
USC00272174,1897,4,TMAX,106.0,133.0,78.0,144.0,167.0,172.0,133.0,56.0,67.0,111.0,33.0,167.0,128.0,183.0,78.0,183.0,128.0,144.0,200.0,11.0,128.0,206.0,267.0,272.0,294.0,183.0,100.0,100.0,200.0,239.0,,Spring
USC00272174,1897,5,TMAX,89.0,89.0,122.0,156.0,217.0,161.0,111.0,156.0,250.0,178.0,172.0,167.0,200.0,206.0,222.0,144.0,211.0,244.0,194.0,239.0,239.0,189.0,239.0,183.0,211.0,172.0,100.0,156.0,194.0,233.0,200.0,Spring
USC00272174,1897,6,TMAX,150.0,200.0,228.0,156.0,167.0,161.0,144.0,150.0,128.0,128.0,244.0,156.0,139.0,194.0,261.0,228.0,250.0,261.0,272.0,200.0,200.0,256.0,272.0,306.0,306.0,239.0,206.0,256.0,222.0,183.0,,Summer
USC00272174,1897,7,TMAX,272.0,256.0,222.0,228.0,350.0,306.0,294.0,333.0,356.0,217.0,239.0,294.0,283.0,239.0,289.0,311.0,294.0,261.0,239.0,272.0,278.0,239.0,294.0,239.0,239.0,222.0,194.0,178.0,161.0,250.0,289.0,Summer
USC00272174,1897,8,TMAX,250.0,244.0,294.0,272.0,239.0,272.0,278.0,300.0,283.0,222.0,211.0,256.0,233.0,289.0,272.0,272.0,233.0,250.0,244.0,228.0,244.0,261.0,178.0,150.0,244.0,239.0,233.0,272.0,267.0,250.0,244.0,Summer
USC00272174,1897,9,TMAX,261.0,217.0,217.0,211.0,289.0,306.0,200.0,250.0,328.0,350.0,272.0,189.0,211.0,194.0,217.0,244.0,194.0,172.0,250.0,206.0,194.0,150.0,144.0,144.0,239.0,256.0,128.0,150.0,172.0,233.0,,Fall
USC00272174,1897,10,TMAX,272.0,133.0,172.0,244.0,256.0,228.0,156.0,156.0,178.0,133.0,150.0,244.0,183.0,178.0,311.0,306.0,144.0,172.0,189.0,122.0,94.0,83.0,122.0,128.0,167.0,161.0,156.0,122.0,117.0,94.0,106.0,Fall
USC00272174,1897,11,TMAX,117.0,106.0,128.0,156.0,89.0,178.0,72.0,122.0,83.0,72.0,44.0,44.0,61.0,39.0,78.0,172.0,39.0,6.0,-22.0,6.0,94.0,28.0,0.0,-17.0,44.0,167.0,139.0,6.0,11.0,-17.0,,Fall
USC00272174,1897,12,TMAX,-11.0,-11.0,-17.0,-11.0,78.0,28.0,-11.0,11.0,33.0,122.0,161.0,61.0,44.0,100.0,117.0,78.0,67.0,-11.0,-78.0,-44.0,-6.0,-22.0,-22.0,-28.0,-56.0,-22.0,17.0,-39.0,-56.0,67.0,33.0,Winter
